# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322501 0.731344 0.224329 -0.091426
0.010000 0.321464 0.730848 0.222127 -0.091125
0.020000 0.320428 0.730297 0.219928 -0.090801
0.030000 0.319392 0.729689 0.217733 -0.090455
0.040000 0.318358 0.729027 0.215543 -0.090088
0.050000 0.317326 0.728313 0.213358 -0.089701
0.060000 0.316295 0.727550 0.211178 -0.089295
0.070000 0.315266 0.726739 0.209004 -0.088871
0.080000 0.314240 0.725881 0.206837 -0.088430
0.090000 0.313216 0.724979 0.204851 -0.087973
0.100000 0.312194 0.724032 0.202886 -0.087500
0.110000 0.311175 0.723043 0.200926 -0.087012
0.120000 0.310158 0.722012 0.198973 -0.086509
0.130000 0.309143 0.720941 0.197025 -0.085993
0.140000 0.308131 0.719832 0.195083 -0.085464
0.150000 0.307122 0.718687 0.193147 -0.084923
0.160000 0.306115 0.717507 0.191219 -0.084371
0.170000 0.305113 0.716419 0.189298 -0.083957
0.180000 0.304114 0.715359 0.187384 -0.083587
0.190000 0.303118 0.714283 0.185479 -0.083209
0.200000 0.302126 0.713194 0.183580 -0.082825
0.210000 0.301136 0.712094 0.181687 -0.082434
0.220000 0.300150 0.710985 0.179801 -0.082038
0.230000 0.299166 0.709866 0.177921 -0.081636
0.240000 0.298186 0.708740 0.176061 -0.081229
0.250000 0.297208 0.707607 0.174245 -0.080817
0.260000 0.296232 0.706467 0.172434 -0.080399
0.270000 0.295258 0.705321 0.170626 -0.079977
0.280000 0.294286 0.704170 0.168823 -0.079550
0.290000 0.293316 0.703015 0.167024 -0.079119
0.300000 0.292348 0.701860 0.165228 -0.078685
0.310000 0.291382 0.700703 0.163437 -0.078247
0.320000 0.290418 0.699548 0.161651 -0.077805
0.330000 0.289456 0.698393 0.159869 -0.077361
0.340000 0.288497 0.697240 0.158091 -0.076914
0.350000 0.287540 0.696088 0.156318 -0.076465
0.360000 0.286586 0.694938 0.154549 -0.076012
0.370000 0.285633 0.693789 0.152785 -0.075557
0.380000 0.284683 0.692571 0.151025 -0.075014
0.390000 0.283735 0.691350 0.149270 -0.074459
0.400000 0.282791 0.690135 0.147521 -0.073903
0.410000 0.281849 0.688925 0.145777 -0.073345
0.420000 0.280910 0.687721 0.143985 -0.072785
0.430000 0.279974 0.686522 0.141691 -0.072222
0.440000 0.279041 0.685328 0.139404 -0.071658
0.450000 0.278110 0.684137 0.137122 -0.071091
0.460000 0.277181 0.682952 0.134844 -0.070522
0.470000 0.276255 0.681772 0.132572 -0.069951
0.480000 0.275330 0.680598 0.130305 -0.069379
0.490000 0.274408 0.679431 0.128042 -0.068805
0.500000 0.273488 0.678264 0.125785 -0.068231
0.510000 0.272570 0.677090 0.123533 -0.067656
0.520000 0.271655 0.675908 0.121286 -0.067080
0.530000 0.270741 0.674720 0.119044 -0.066503
0.540000 0.269830 0.673527 0.116808 -0.065926
0.550000 0.268922 0.672329 0.114577 -0.065348
0.560000 0.268016 0.671129 0.112352 -0.064771
0.570000 0.267112 0.669924 0.110134 -0.064194
0.580000 0.266211 0.668789 0.107922 -0.063553
0.590000 0.265313 0.667952 0.105714 -0.062631
0.600000 0.264416 0.667109 0.103511 -0.061710
0.610000 0.263521 0.666264 0.101321 -0.060790
0.620000 0.262629 0.665410 0.099417 -0.059868
0.630000 0.261738 0.664549 0.097517 -0.058947
0.640000 0.260849 0.663680 0.095620 -0.058025
0.650000 0.259961 0.662805 0.093725 -0.057103
0.660000 0.259074 0.661924 0.091832 -0.056180
0.670000 0.258189 0.661038 0.089942 -0.055258
0.680000 0.257305 0.660145 0.088054 -0.054335
0.690000 0.256421 0.659243 0.086166 -0.053410
0.700000 0.255537 0.658334 0.084277 -0.052485
0.710000 0.254652 0.657412 0.082386 -0.051557
0.720000 0.253768 0.656487 0.080494 -0.050629
0.730000 0.252883 0.655556 0.078602 -0.049701
0.740000 0.251999 0.654646 0.076711 -0.048775
0.750000 0.251117 0.653784 0.074821 -0.047849
0.760000 0.250235 0.652977 0.072932 -0.046921
0.770000 0.249354 0.652222 0.071043 -0.045992
0.780000 0.248473 0.651523 0.069155 -0.045062
0.790000 0.247594 0.650906 0.067675 -0.044057
0.800000 0.246715 0.650346 0.067257 -0.043028
0.810000 0.245836 0.649837 0.066839 -0.041999
0.820000 0.244957 0.649376 0.066420 -0.040968
0.830000 0.244079 0.648964 0.066001 -0.039937
0.840000 0.243200 0.648593 0.065580 -0.038903
0.850000 0.242319 0.648264 0.065159 -0.037867
0.860000 0.241438 0.647975 0.064737 -0.036830
0.870000 0.240558 0.647742 0.064314 -0.035795
0.880000 0.239679 0.647560 0.063892 -0.034761
0.890000 0.238802 0.647425 0.063470 -0.033729
0.900000 0.237925 0.647326 0.063048 -0.032696
0.910000 0.237049 0.647259 0.062626 -0.031660
0.920000 0.236173 0.647221 0.062203 -0.030621
0.930000 0.235296 0.647217 0.061779 -0.029580
0.940000 0.234418 0.647245 0.061354 -0.028536
0.950000 0.233539 0.647305 0.060929 -0.027491
0.960000 0.232659 0.647404 0.060502 -0.026444
0.970000 0.231779 0.647357 0.060074 -0.025854
0.980000 0.230898 0.647111 0.059645 -0.025893
0.990000 0.230015 0.646926 0.059214 -0.025928
1.000000 0.229128 0.646794 0.058780 -0.025957
1.010000 0.228239 0.646739 0.058288 -0.025988
1.020000 0.227347 0.646745 0.057722 -0.026015
1.030000 0.226452 0.646818 0.057154 -0.026042
1.040000 0.225556 0.646961 0.056584 -0.026070
1.050000 0.224658 0.647164 0.056012 -0.026096
1.060000 0.223758 0.647422 0.055437 -0.026120
1.070000 0.222856 0.647742 0.054860 -0.026143
1.080000 0.221952 0.648113 0.054280 -0.026164
1.090000 0.221047 0.648539 0.053699 -0.026183
1.100000 0.220142 0.649034 0.053116 -0.026206
1.110000 0.219236 0.649581 0.052532 -0.026227
1.120000 0.218330 0.650171 0.051946 -0.026244
1.130000 0.217425 0.650821 0.051360 -0.026263
1.140000 0.216520 0.651527 0.050773 -0.026283
1.150000 0.215616 0.652268 0.050185 -0.026300
1.160000 0.214712 0.653017 0.049597 -0.026317
1.170000 0.213807 0.653753 0.049007 -0.026330
1.180000 0.212902 0.654467 0.048420 -0.026339
1.190000 0.211996 0.655136 0.047967 -0.026279
1.200000 0.211093 0.655750 0.047515 -0.026120
1.210000 0.210191 0.656366 0.047063 -0.025963
1.220000 0.209293 0.656985 0.046613 -0.025806
1.230000 0.208399 0.657613 0.046164 -0.025652
1.240000 0.207509 0.658253 0.045717 -0.025502
1.250000 0.206622 0.658885 0.045270 -0.025350
1.260000 0.205735 0.659482 0.044823 -0.025189
1.270000 0.204847 0.660042 0.044375 -0.025020
1.280000 0.203956 0.660566 0.043925 -0.024842
1.290000 0.203064 0.661090 0.043473 -0.024665
1.300000 0.202172 0.661628 0.043020 -0.024493
1.310000 0.201279 0.662176 0.042567 -0.024324
1.320000 0.200387 0.662727 0.042113 -0.024156
1.330000 0.199496 0.663284 0.041658 -0.023990
1.340000 0.198607 0.663835 0.041204 -0.023821
1.350000 0.197719 0.664393 0.040750 -0.023654
1.360000 0.196833 0.664952 0.040296 -0.023488
1.370000 0.195952 0.665526 0.039844 -0.023373
1.380000 0.195076 0.666076 0.039394 -0.023320
1.390000 0.194204 0.666568 0.038948 -0.023271
1.400000 0.193338 0.667007 0.038381 -0.023224
1.410000 0.192476 0.667383 0.037670 -0.023177
1.420000 0.191619 0.667696 0.036963 -0.023129
1.430000 0.190764 0.667935 0.036260 -0.023077
1.440000 0.189913 0.668125 0.035559 -0.023027
1.450000 0.189066 0.668263 0.034863 -0.022978
1.460000 0.188223 0.668354 0.034170 -0.022929
1.470000 0.187385 0.668419 0.033483 -0.022887
1.480000 0.186552 0.668449 0.032800 -0.022848
1.490000 0.185725 0.668448 0.032123 -0.022813
1.500000 0.184903 0.668407 0.031451 -0.022778
1.510000 0.184085 0.668322 0.030783 -0.022743
1.520000 0.183272 0.668193 0.030120 -0.022707
1.530000 0.182462 0.668022 0.029460 -0.022670
1.540000 0.181657 0.667813 0.028804 -0.022632
1.550000 0.180855 0.667585 0.028152 -0.022598
1.560000 0.180059 0.667344 0.027505 -0.022569
1.570000 0.179268 0.667091 0.026863 -0.022546
1.580000 0.178484 0.666818 0.026227 -0.022526
1.590000 0.177706 0.666525 0.025597 -0.022507
1.600000 0.176935 0.666228 0.024973 -0.022365
1.610000 0.176172 0.665945 0.024418 -0.022208
1.620000 0.175418 0.665646 0.024243 -0.022055
1.630000 0.174672 0.665356 0.024072 -0.021911
1.640000 0.173936 0.665056 0.023903 -0.021770
1.650000 0.173210 0.664755 0.023738 -0.021635
1.660000 0.172493 0.664430 0.023577 -0.021498
1.670000 0.171785 0.664089 0.023418 -0.021363
1.680000 0.171085 0.663729 0.023262 -0.021229
1.690000 0.170392 0.663348 0.023109 -0.021093
