# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322796 0.744925 0.224913 -0.091671
0.010000 0.321758 0.742493 0.222761 -0.090780
0.020000 0.320721 0.740043 0.220610 -0.089889
0.030000 0.319684 0.737578 0.218459 -0.088998
0.040000 0.318647 0.735096 0.216308 -0.088108
0.050000 0.317610 0.732599 0.214157 -0.087218
0.060000 0.316573 0.730087 0.212007 -0.086329
0.070000 0.315537 0.727560 0.209857 -0.085440
0.080000 0.314501 0.725018 0.207708 -0.084552
0.090000 0.313464 0.723457 0.205677 -0.083872
0.100000 0.312429 0.722394 0.203706 -0.083294
0.110000 0.311393 0.721350 0.201735 -0.082715
0.120000 0.310358 0.720324 0.199765 -0.082136
0.130000 0.309324 0.719317 0.197796 -0.081557
0.140000 0.308290 0.718328 0.195827 -0.080978
0.150000 0.307256 0.717356 0.193860 -0.080399
0.160000 0.306223 0.716400 0.191893 -0.079820
0.170000 0.305190 0.715461 0.189928 -0.079240
0.180000 0.304158 0.714537 0.187963 -0.078661
0.190000 0.303127 0.713628 0.186000 -0.078081
0.200000 0.302096 0.712734 0.184038 -0.077501
0.210000 0.301066 0.711854 0.182077 -0.076921
0.220000 0.300036 0.710987 0.180117 -0.076342
0.230000 0.299008 0.710134 0.178159 -0.075762
0.240000 0.297980 0.709048 0.176230 -0.075128
0.250000 0.296953 0.707682 0.174335 -0.074429
0.260000 0.295927 0.706317 0.172442 -0.073732
0.270000 0.294901 0.704954 0.170550 -0.073034
0.280000 0.293877 0.703592 0.168660 -0.072338
0.290000 0.292853 0.702231 0.166772 -0.071642
0.300000 0.291831 0.700872 0.164886 -0.070946
0.310000 0.290809 0.699514 0.163001 -0.070251
0.320000 0.289789 0.698157 0.161118 -0.069557
0.330000 0.288769 0.696801 0.159238 -0.068864
0.340000 0.287751 0.695447 0.157359 -0.068171
0.350000 0.286734 0.694094 0.155482 -0.067479
0.360000 0.285718 0.692742 0.153608 -0.066788
0.370000 0.284703 0.691390 0.151736 -0.066097
0.380000 0.283690 0.690041 0.149866 -0.065407
0.390000 0.282677 0.688692 0.147998 -0.064718
0.400000 0.281666 0.687344 0.146133 -0.064030
0.410000 0.280657 0.686653 0.144062 -0.063206
0.420000 0.279649 0.687251 0.141583 -0.062115
0.430000 0.278642 0.687878 0.139109 -0.061023
0.440000 0.277636 0.688534 0.136637 -0.059932
0.450000 0.276633 0.689217 0.134170 -0.058842
0.460000 0.275630 0.689928 0.131706 -0.057752
0.470000 0.274629 0.690664 0.129246 -0.056663
0.480000 0.273630 0.691425 0.126789 -0.055574
0.490000 0.272632 0.692211 0.124337 -0.054485
0.500000 0.271636 0.693019 0.121889 -0.053398
0.510000 0.270642 0.693851 0.119444 -0.052311
0.520000 0.269649 0.694703 0.117004 -0.051225
0.530000 0.268658 0.695577 0.114568 -0.050139
0.540000 0.267669 0.696471 0.112137 -0.049055
0.550000 0.266681 0.697384 0.109710 -0.047971
0.560000 0.265696 0.698316 0.107287 -0.046889
0.570000 0.264712 0.699266 0.104869 -0.045807
0.580000 0.263730 0.700233 0.102456 -0.044726
0.590000 0.262750 0.701847 0.100301 -0.043556
0.600000 0.261772 0.703634 0.098209 -0.042366
0.610000 0.260796 0.705452 0.096121 -0.041176
0.620000 0.259822 0.707300 0.094038 -0.039987
0.630000 0.258850 0.709176 0.091959 -0.038798
0.640000 0.257881 0.711081 0.089884 -0.037610
0.650000 0.256913 0.713013 0.087814 -0.036423
0.660000 0.255947 0.714971 0.085749 -0.035237
0.670000 0.254984 0.716955 0.083688 -0.034052
0.680000 0.254023 0.718965 0.081632 -0.032867
0.690000 0.253064 0.720998 0.079580 -0.031683
0.700000 0.252107 0.723055 0.077534 -0.030501
0.710000 0.251153 0.725134 0.075493 -0.029319
0.720000 0.250200 0.727236 0.073456 -0.028140
0.730000 0.249251 0.729360 0.071425 -0.026960
0.740000 0.248303 0.731504 0.069398 -0.025783
0.750000 0.247359 0.733085 0.068173 -0.025214
0.760000 0.246416 0.734114 0.067727 -0.025235
0.770000 0.245476 0.735144 0.067281 -0.025255
0.780000 0.244539 0.736175 0.066837 -0.025276
0.790000 0.243604 0.737207 0.066394 -0.025296
0.800000 0.242671 0.738240 0.065952 -0.025315
0.810000 0.241742 0.739273 0.065511 -0.025333
0.820000 0.240815 0.740308 0.065072 -0.025351
0.830000 0.239890 0.741343 0.064633 -0.025368
0.840000 0.238968 0.742380 0.064196 -0.025384
0.850000 0.238049 0.743417 0.063761 -0.025401
0.860000 0.237133 0.744455 0.063327 -0.025415
0.870000 0.236220 0.745494 0.062894 -0.025430
0.880000 0.235309 0.746534 0.062462 -0.025444
0.890000 0.234401 0.747574 0.062032 -0.025458
