# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.316288 0.726217 0.211450 -0.086171
0.010000 0.313183 0.721557 0.207090 -0.085534
0.020000 0.310094 0.719636 0.203027 -0.085230
0.030000 0.307016 0.717726 0.198910 -0.084807
0.040000 0.303949 0.715715 0.194735 -0.084267
0.050000 0.300892 0.713629 0.190513 -0.083658
0.060000 0.297846 0.711524 0.186252 -0.082992
0.070000 0.294817 0.709429 0.181958 -0.082253
0.080000 0.291807 0.707349 0.177636 -0.081449
0.090000 0.288823 0.704352 0.173392 -0.080448
0.100000 0.285866 0.701167 0.169162 -0.079370
0.110000 0.282936 0.698034 0.164933 -0.078253
0.120000 0.280037 0.694965 0.160716 -0.077105
0.130000 0.277171 0.691965 0.156519 -0.075933
0.140000 0.274344 0.689038 0.152348 -0.074743
0.150000 0.271562 0.686180 0.148208 -0.073523
0.160000 0.268828 0.683681 0.144029 -0.072255
0.170000 0.266142 0.684976 0.138638 -0.071392
0.180000 0.263502 0.686137 0.133275 -0.070461
0.190000 0.260905 0.687169 0.127933 -0.069473
0.200000 0.258345 0.688072 0.122595 -0.068426
0.210000 0.255812 0.688849 0.117245 -0.067318
0.220000 0.253293 0.689506 0.111876 -0.066148
0.230000 0.250783 0.690050 0.106505 -0.064923
0.240000 0.248276 0.690632 0.101185 -0.063002
0.250000 0.245777 0.692929 0.096585 -0.060616
0.260000 0.243297 0.695315 0.092020 -0.058194
0.270000 0.240838 0.697776 0.087488 -0.055742
0.280000 0.238402 0.700303 0.082990 -0.053261
0.290000 0.235994 0.702885 0.078521 -0.050760
0.300000 0.233614 0.705512 0.074074 -0.048239
0.310000 0.231265 0.708176 0.069650 -0.045703
0.320000 0.228951 0.709317 0.066928 -0.043256
0.330000 0.226680 0.709831 0.065911 -0.040766
0.340000 0.224446 0.710655 0.064889 -0.038342
0.350000 0.222239 0.711768 0.063860 -0.035968
0.360000 0.220049 0.713156 0.062825 -0.033642
0.370000 0.217866 0.714799 0.061782 -0.031354
0.380000 0.215689 0.716672 0.060729 -0.029098
0.390000 0.213516 0.718743 0.059661 -0.026876
0.400000 0.211343 0.720913 0.058576 -0.026001
