# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.316161 0.725735 0.211152 -0.087820
0.010000 0.313054 0.720000 0.204897 -0.085481
0.020000 0.309960 0.720000 0.199008 -0.083748
0.030000 0.306880 0.720000 0.193145 -0.082022
0.040000 0.303827 0.720000 0.187332 -0.080312
0.050000 0.300811 0.720000 0.181591 -0.078622
0.060000 0.297836 0.719295 0.175965 -0.076884
0.070000 0.294905 0.715937 0.170558 -0.074903
0.080000 0.292018 0.712628 0.165231 -0.072950
0.090000 0.289167 0.709361 0.159970 -0.071023
0.100000 0.286345 0.706127 0.154764 -0.069115
0.110000 0.283548 0.702922 0.149604 -0.067224
0.120000 0.280772 0.700648 0.144344 -0.065256
0.130000 0.277992 0.708611 0.137512 -0.062262
0.140000 0.275199 0.716612 0.130647 -0.059254
0.150000 0.272419 0.724576 0.123814 -0.056260
0.160000 0.269677 0.732434 0.117072 -0.053305
0.170000 0.266983 0.740150 0.110451 -0.050404
0.180000 0.264337 0.747731 0.103946 -0.047553
0.190000 0.261716 0.759313 0.098089 -0.044523
0.200000 0.259092 0.772679 0.092475 -0.041399
0.210000 0.256449 0.786138 0.086822 -0.038253
0.220000 0.253789 0.799686 0.081132 -0.035086
0.230000 0.251119 0.813282 0.075422 -0.031908
0.240000 0.248448 0.826889 0.069706 -0.028727
0.250000 0.245797 0.834249 0.067433 -0.028159
0.260000 0.243174 0.839716 0.066190 -0.028364
0.270000 0.240523 0.845237 0.064934 -0.028571
0.280000 0.237795 0.850921 0.063641 -0.028785
0.290000 0.234975 0.856797 0.062304 -0.029005
0.300000 0.232062 0.862867 0.060923 -0.029233
0.310000 0.229045 0.869152 0.059493 -0.029468
0.320000 0.225935 0.866558 0.057648 -0.029173
0.330000 0.222746 0.862498 0.055699 -0.028787
0.340000 0.219480 0.858339 0.053703 -0.028392
0.350000 0.216145 0.854093 0.051665 -0.027989
0.360000 0.212756 0.849727 0.049620 -0.027599
0.370000 0.209330 0.844375 0.048050 -0.027581
0.380000 0.205897 0.839009 0.046476 -0.027563
0.390000 0.202484 0.833677 0.044912 -0.027546
0.400000 0.199131 0.828437 0.043375 -0.027528
0.410000 0.195886 0.823366 0.041887 -0.027511
0.420000 0.192798 0.817324 0.040183 -0.027323
0.430000 0.189908 0.809045 0.037964 -0.026777
0.440000 0.187236 0.801392 0.035913 -0.026272
0.450000 0.184777 0.794346 0.034025 -0.025807
0.460000 0.182511 0.787855 0.032285 -0.025378
0.470000 0.180425 0.781879 0.030684 -0.024984
0.480000 0.178512 0.776400 0.029215 -0.024622
0.490000 0.176765 0.771393 0.027873 -0.024292
0.500000 0.175162 0.768720 0.027276 -0.024418
0.510000 0.173670 0.767011 0.026977 -0.024708
0.520000 0.172247 0.765380 0.026691 -0.024985
0.530000 0.170839 0.763767 0.026409 -0.025260
0.540000 0.169404 0.762122 0.026121 -0.025539
0.550000 0.167918 0.760420 0.025823 -0.025829
0.560000 0.166380 0.758657 0.025515 -0.026128
0.570000 0.164800 0.756847 0.025198 -0.026436
0.580000 0.163189 0.755001 0.024875 -0.026750
0.590000 0.161551 0.753123 0.024547 -0.027069
0.600000 0.159886 0.751215 0.024213 -0.027393
0.610000 0.158205 0.749289 0.023876 -0.027721
0.620000 0.156529 0.747369 0.023540 -0.028047
0.630000 0.154884 0.745484 0.023210 -0.028368
0.640000 0.153298 0.743666 0.022892 -0.028677
0.650000 0.151797 0.741947 0.022591 -0.028969
0.660000 0.150409 0.740356 0.022312 -0.029240
0.670000 0.149158 0.738922 0.022061 -0.029483
0.680000 0.148062 0.737666 0.021842 -0.029697
0.690000 0.147130 0.736598 0.021655 -0.029878
0.700000 0.146360 0.735716 0.021500 -0.030028
0.710000 0.145739 0.735004 0.021376 -0.030149
0.720000 0.145247 0.734440 0.021277 -0.030245
0.730000 0.144863 0.734001 0.021200 -0.030320
0.740000 0.144568 0.733663 0.021141 -0.030377
0.750000 0.144344 0.733407 0.021096 -0.030421
0.760000 0.144171 0.733208 0.021061 -0.030455
0.770000 0.144021 0.733036 0.021031 -0.030484
0.780000 0.143867 0.732859 0.021000 -0.030514
0.790000 0.143682 0.732648 0.020963 -0.030550
0.800000 0.143452 0.732384 0.020917 -0.030595
0.810000 0.143179 0.732071 0.020862 -0.030648
0.820000 0.142879 0.731727 0.020802 -0.030706
0.830000 0.142580 0.731385 0.020742 -0.030765
0.840000 0.142312 0.731078 0.020689 -0.030817
0.850000 0.142102 0.730837 0.020646 -0.030858
0.860000 0.141969 0.730685 0.020620 -0.030884
0.870000 0.141932 0.730642 0.020612 -0.030891
0.880000 0.142010 0.730732 0.020628 -0.030876
0.890000 0.142223 0.730976 0.020671 -0.030834
0.900000 0.142588 0.731394 0.020744 -0.030763
0.910000 0.143115 0.731997 0.020850 -0.030660
0.920000 0.143802 0.732785 0.020987 -0.030527
0.930000 0.144637 0.733742 0.021155 -0.030364
0.940000 0.145598 0.734843 0.021347 -0.030177
0.950000 0.146654 0.736054 0.021559 -0.029971
0.960000 0.147773 0.737336 0.021784 -0.029753
0.970000 0.148920 0.738649 0.022014 -0.029530
0.980000 0.150061 0.739957 0.022242 -0.029307
0.990000 0.151168 0.741225 0.022464 -0.029092
1.000000 0.152217 0.742428 0.022675 -0.028887
1.010000 0.153193 0.743546 0.022871 -0.028697
1.020000 0.154086 0.744569 0.023050 -0.028523
1.030000 0.154894 0.745495 0.023212 -0.028366
1.040000 0.155624 0.746332 0.023358 -0.028224
1.050000 0.156288 0.747093 0.023491 -0.028094
1.060000 0.156909 0.747805 0.023616 -0.027973
1.070000 0.157517 0.748501 0.023738 -0.027855
1.080000 0.158147 0.749223 0.023864 -0.027732
1.090000 0.158837 0.750014 0.024002 -0.027598
1.100000 0.159623 0.750914 0.024160 -0.027445
1.110000 0.160535 0.751960 0.024343 -0.027267
1.120000 0.161595 0.753175 0.024556 -0.027060
1.130000 0.162815 0.754573 0.024800 -0.026823
1.140000 0.164196 0.756155 0.025077 -0.026554
1.150000 0.165729 0.757912 0.025385 -0.026255
1.160000 0.167400 0.759826 0.025720 -0.025930
1.170000 0.169185 0.761872 0.026078 -0.025582
1.180000 0.171058 0.764019 0.026453 -0.025217
1.190000 0.172985 0.766226 0.026840 -0.024842
1.200000 0.174926 0.768450 0.027229 -0.024463
1.210000 0.176841 0.771612 0.027932 -0.024306
1.220000 0.178693 0.776918 0.029354 -0.024657
1.230000 0.180457 0.781972 0.030708 -0.024990
1.240000 0.182116 0.786724 0.031982 -0.025304
