# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.316288 0.726173 0.211416 -0.086146
0.010000 0.313182 0.720226 0.205140 -0.083772
0.020000 0.310096 0.717352 0.199265 -0.082058
0.030000 0.307034 0.714644 0.193438 -0.080354
0.040000 0.304007 0.712095 0.187675 -0.078668
0.050000 0.301019 0.709699 0.181988 -0.077003
0.060000 0.298073 0.707243 0.176402 -0.075316
0.070000 0.295169 0.703574 0.171045 -0.073358
0.080000 0.292306 0.699957 0.165763 -0.071428
0.090000 0.289481 0.696386 0.160551 -0.069521
0.100000 0.286690 0.692853 0.155402 -0.067634
0.110000 0.283928 0.689351 0.150306 -0.065765
0.120000 0.281192 0.685874 0.145258 -0.063911
0.130000 0.278470 0.687321 0.138686 -0.061053
0.140000 0.275756 0.689360 0.132014 -0.058106
0.150000 0.273065 0.691614 0.125400 -0.055183
0.160000 0.270414 0.694060 0.118885 -0.052307
0.170000 0.267817 0.696679 0.112500 -0.049487
0.180000 0.265276 0.699455 0.106256 -0.046727
0.190000 0.262785 0.702995 0.100375 -0.043925
0.200000 0.260324 0.708057 0.095111 -0.040948
0.210000 0.257878 0.713354 0.089879 -0.037966
0.220000 0.255442 0.718867 0.084668 -0.034982
0.230000 0.253018 0.724577 0.079482 -0.032002
0.240000 0.250611 0.730468 0.074335 -0.029035
0.250000 0.248224 0.736522 0.069229 -0.026081
0.260000 0.245866 0.740293 0.067466 -0.025639
0.270000 0.243533 0.743616 0.066360 -0.025683
0.280000 0.241196 0.746882 0.065252 -0.025698
0.290000 0.238809 0.750023 0.064121 -0.025672
0.300000 0.236340 0.752994 0.062951 -0.025590
0.310000 0.233781 0.755786 0.061738 -0.025485
0.320000 0.231123 0.758394 0.060478 -0.025363
0.330000 0.228369 0.760604 0.059136 -0.025173
0.340000 0.225538 0.760552 0.057405 -0.024489
0.350000 0.222651 0.759969 0.055641 -0.023843
0.360000 0.219722 0.758923 0.053851 -0.023233
0.370000 0.216767 0.757488 0.052045 -0.022652
0.380000 0.213809 0.755751 0.050237 -0.022109
0.390000 0.210876 0.753649 0.048758 -0.021844
0.400000 0.207999 0.751374 0.047440 -0.021739
0.410000 0.205211 0.749103 0.046162 -0.021707
0.420000 0.202537 0.746937 0.044936 -0.021745
0.430000 0.199998 0.744955 0.043772 -0.021843
0.440000 0.197601 0.743194 0.042673 -0.021981
0.450000 0.195338 0.741642 0.041636 -0.022130
0.460000 0.193194 0.740156 0.040487 -0.022158
0.470000 0.191155 0.738489 0.038922 -0.021885
0.480000 0.189217 0.736820 0.037434 -0.021612
0.490000 0.187377 0.735175 0.036021 -0.021359
0.500000 0.185629 0.733557 0.034679 -0.021130
0.510000 0.183958 0.731932 0.033396 -0.020901
0.520000 0.182343 0.730245 0.032156 -0.020643
0.530000 0.180761 0.728433 0.030941 -0.020349
0.540000 0.179188 0.726427 0.029734 -0.020012
0.550000 0.177605 0.724168 0.028519 -0.019630
0.560000 0.176001 0.721692 0.027444 -0.019320
0.570000 0.174374 0.719268 0.027118 -0.019518
0.580000 0.172729 0.716774 0.026788 -0.019735
0.590000 0.171074 0.714242 0.026456 -0.019981
0.600000 0.169422 0.711721 0.026125 -0.020269
0.610000 0.167788 0.709259 0.025797 -0.020609
0.620000 0.166183 0.706901 0.025476 -0.020987
0.630000 0.164623 0.704699 0.025163 -0.021405
0.640000 0.163124 0.702711 0.024862 -0.021852
0.650000 0.161704 0.700993 0.024577 -0.022327
0.660000 0.160377 0.699596 0.024311 -0.022830
0.670000 0.159155 0.698555 0.024066 -0.023347
0.680000 0.158044 0.697884 0.023843 -0.023872
0.690000 0.157043 0.697570 0.023643 -0.024388
0.700000 0.156146 0.697575 0.023463 -0.024874
0.710000 0.155339 0.697841 0.023301 -0.025310
0.720000 0.154607 0.698299 0.023154 -0.025684
0.730000 0.153935 0.698884 0.023019 -0.025990
0.740000 0.153308 0.699542 0.022894 -0.026235
0.750000 0.152719 0.700240 0.022776 -0.026438
0.760000 0.152161 0.700952 0.022664 -0.026615
0.770000 0.151625 0.701647 0.022556 -0.026773
0.780000 0.151101 0.702289 0.022451 -0.026905
0.790000 0.150579 0.702836 0.022346 -0.027007
0.800000 0.150050 0.703261 0.022240 -0.027085
0.810000 0.149511 0.703564 0.022132 -0.027158
0.820000 0.148968 0.703773 0.022023 -0.027256
0.830000 0.148435 0.703949 0.021916 -0.027406
0.840000 0.147927 0.704170 0.021815 -0.027630
0.850000 0.147464 0.704516 0.021722 -0.027931
0.860000 0.147062 0.705054 0.021641 -0.028295
0.870000 0.146732 0.705828 0.021575 -0.028701
0.880000 0.146483 0.706863 0.021525 -0.029123
0.890000 0.146320 0.708175 0.021492 -0.029553
0.900000 0.146248 0.709779 0.021478 -0.029983
0.910000 0.146273 0.711685 0.021483 -0.030408
0.920000 0.146395 0.713888 0.021507 -0.030820
0.930000 0.146611 0.716362 0.021551 -0.031200
0.940000 0.146911 0.719057 0.021611 -0.031523
0.950000 0.147282 0.721900 0.021685 -0.031772
0.960000 0.147705 0.724810 0.021770 -0.031932
0.970000 0.148162 0.727704 0.021862 -0.031999
0.980000 0.148635 0.730504 0.021957 -0.031984
0.990000 0.149108 0.733150 0.022052 -0.031897
1.000000 0.149570 0.735599 0.022144 -0.031759
1.010000 0.150015 0.737836 0.022233 -0.031594
1.020000 0.150439 0.739864 0.022318 -0.031422
1.030000 0.150844 0.741701 0.022400 -0.031264
1.040000 0.151234 0.743376 0.022478 -0.031132
1.050000 0.151616 0.744925 0.022554 -0.031036
1.060000 0.151997 0.746395 0.022631 -0.030982
1.070000 0.152390 0.747841 0.022709 -0.030978
1.080000 0.152807 0.749328 0.022793 -0.031031
1.090000 0.153265 0.750924 0.022885 -0.031142
1.100000 0.153779 0.752690 0.022988 -0.031311
1.110000 0.154363 0.754679 0.023105 -0.031524
1.120000 0.155025 0.756922 0.023238 -0.031764
1.130000 0.155772 0.759429 0.023388 -0.032007
1.140000 0.156603 0.762189 0.023555 -0.032230
1.150000 0.157517 0.765176 0.023738 -0.032414
1.160000 0.158507 0.768354 0.023936 -0.032548
1.170000 0.159566 0.771680 0.024149 -0.032621
1.180000 0.160685 0.775107 0.024373 -0.032636
1.190000 0.161853 0.778583 0.024607 -0.032584
1.200000 0.163058 0.782051 0.024849 -0.032468
1.210000 0.164286 0.785456 0.025095 -0.032292
1.220000 0.165525 0.788749 0.025344 -0.032061
1.230000 0.166765 0.791896 0.025592 -0.031787
1.240000 0.167999 0.794875 0.025840 -0.031485
1.250000 0.169223 0.797679 0.026085 -0.031168
1.260000 0.170437 0.800314 0.026329 -0.030849
1.270000 0.171640 0.802800 0.026570 -0.030540
1.280000 0.172839 0.805164 0.026810 -0.030251
1.290000 0.174039 0.807439 0.027051 -0.029987
1.300000 0.175249 0.809665 0.027294 -0.029754
1.310000 0.176475 0.811910 0.027651 -0.029627
1.320000 0.177729 0.814380 0.028614 -0.029928
1.330000 0.179016 0.817048 0.029602 -0.030265
1.340000 0.180341 0.819921 0.030619 -0.030620
1.350000 0.181706 0.823004 0.031667 -0.030989
1.360000 0.183113 0.826297 0.032747 -0.031366
1.370000 0.184562 0.829796 0.033860 -0.031751
1.380000 0.186052 0.833485 0.035004 -0.032137
1.390000 0.187579 0.837346 0.036177 -0.032516
1.400000 0.189141 0.841359 0.037376 -0.032885
1.410000 0.190733 0.845501 0.038597 -0.033243
1.420000 0.192348 0.849747 0.039838 -0.033583
1.430000 0.193982 0.854032 0.041015 -0.033859
1.440000 0.195629 0.858154 0.041770 -0.033861
1.450000 0.197289 0.862189 0.042530 -0.033855
1.460000 0.198962 0.866145 0.043297 -0.033852
1.470000 0.200648 0.870024 0.044070 -0.033847
1.480000 0.202344 0.873827 0.044848 -0.033839
1.490000 0.204051 0.877554 0.045630 -0.033828
1.500000 0.205768 0.881213 0.046417 -0.033815
1.510000 0.207498 0.884815 0.047210 -0.033805
1.520000 0.209242 0.888378 0.048010 -0.033808
1.530000 0.211006 0.891918 0.048818 -0.033822
1.540000 0.212794 0.895454 0.049637 -0.033847
1.550000 0.214608 0.898881 0.050725 -0.034077
1.560000 0.216453 0.902292 0.051853 -0.034335
1.570000 0.218331 0.905708 0.053001 -0.034604
1.580000 0.220244 0.909134 0.054170 -0.034881
1.590000 0.222193 0.912572 0.055361 -0.035158
1.600000 0.224176 0.916017 0.056573 -0.035429
1.610000 0.226193 0.919470 0.057806 -0.035694
1.620000 0.228247 0.922939 0.059061 -0.035966
1.630000 0.230341 0.925285 0.060107 -0.035907
1.640000 0.232472 0.926998 0.061117 -0.035756
1.650000 0.234636 0.928262 0.062143 -0.035578
1.660000 0.236826 0.929081 0.063181 -0.035353
1.670000 0.239048 0.929483 0.064234 -0.035081
1.680000 0.241302 0.929490 0.065303 -0.034804
1.690000 0.243571 0.929069 0.066378 -0.034528
1.700000 0.245830 0.928184 0.067449 -0.034209
1.710000 0.248076 0.926596 0.068911 -0.034169
1.720000 0.250317 0.922333 0.073704 -0.036708
1.730000 0.252559 0.917334 0.078502 -0.039279
1.740000 0.254816 0.911648 0.083329 -0.041883
1.750000 0.257114 0.905326 0.088245 -0.044580
1.760000 0.259495 0.898403 0.093338 -0.047439
1.770000 0.262002 0.890876 0.098700 -0.050509
1.780000 0.264658 0.883443 0.104736 -0.053682
1.790000 0.267458 0.876641 0.111618 -0.056822
1.800000 0.270392 0.869586 0.118831 -0.060042
1.810000 0.273459 0.862225 0.126370 -0.063360
1.820000 0.276649 0.854502 0.134210 -0.066780
1.830000 0.279939 0.846366 0.142296 -0.070259
1.840000 0.283312 0.841831 0.149170 -0.072852
1.850000 0.286760 0.839409 0.155531 -0.075052
1.860000 0.290262 0.837390 0.161992 -0.077271
1.870000 0.293792 0.835697 0.168505 -0.079482
1.880000 0.297328 0.834265 0.175028 -0.081684
1.890000 0.300864 0.831900 0.181693 -0.083602
1.900000 0.304417 0.829095 0.188456 -0.085423
1.910000 0.308010 0.826367 0.195295 -0.087306
1.920000 0.311655 0.823720 0.202233 -0.089241
1.930000 0.315344 0.822742 0.209458 -0.091554
1.940000 0.319071 0.825436 0.217188 -0.094636
1.950000 0.322834 0.828676 0.224992 -0.097762
1.960000 0.326612 0.832381 0.232829 -0.100912
1.970000 0.330379 0.836452 0.240641 -0.104036
1.980000 0.334126 0.838936 0.248153 -0.106301
1.990000 0.337857 0.840632 0.255508 -0.108162
2.000000 0.341571 0.842385 0.262827 -0.110018
2.010000 0.345272 0.844198 0.270123 -0.111868
2.020000 0.348989 0.846109 0.277448 -0.113744
2.030000 0.352750 0.848601 0.285862 -0.115689
2.040000 0.356572 0.851312 0.294433 -0.117686
2.050000 0.360450 0.854214 0.303132 -0.119713
2.060000 0.364364 0.857259 0.311909 -0.121746
2.070000 0.368282 0.860386 0.320697 -0.123760
2.080000 0.372180 0.863549 0.329438 -0.125742
2.090000 0.376038 0.866712 0.338092 -0.127691
2.100000 0.379841 0.869846 0.346621 -0.129607
2.110000 0.383572 0.872925 0.354988 -0.131483
2.120000 0.387217 0.874902 0.362240 -0.132866
2.130000 0.390771 0.875281 0.368023 -0.133590
2.140000 0.394234 0.875408 0.373657 -0.134298
2.150000 0.397607 0.875308 0.379146 -0.134988
2.160000 0.400900 0.875009 0.384505 -0.135662
2.170000 0.404132 0.874543 0.389763 -0.136330
2.180000 0.407324 0.873939 0.394958 -0.137002
2.190000 0.410497 0.873223 0.400121 -0.137684
2.200000 0.413660 0.872407 0.405268 -0.138371
2.210000 0.416817 0.871500 0.410405 -0.139062
2.220000 0.419964 0.870507 0.415526 -0.139752
2.230000 0.423098 0.869162 0.420420 -0.140501
