# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322864 0.745127 0.225088 -0.091754
0.010000 0.319752 0.740490 0.220700 -0.091082
0.020000 0.316641 0.735705 0.216225 -0.090268
0.030000 0.313533 0.730772 0.211668 -0.089330
0.040000 0.310426 0.725694 0.207036 -0.088280
0.050000 0.307324 0.723416 0.202720 -0.087615
0.060000 0.304226 0.721246 0.198375 -0.086890
0.070000 0.301134 0.718964 0.193978 -0.086076
0.080000 0.298048 0.716573 0.189533 -0.085179
0.090000 0.294969 0.714072 0.185045 -0.084206
0.100000 0.291899 0.711495 0.180519 -0.083213
0.110000 0.288837 0.708736 0.175977 -0.082196
0.120000 0.285786 0.704998 0.171514 -0.080979
0.130000 0.282745 0.701325 0.167024 -0.079726
0.140000 0.279717 0.697714 0.162511 -0.078441
0.150000 0.276700 0.694166 0.157978 -0.077130
0.160000 0.273698 0.690679 0.153429 -0.075796
0.170000 0.270710 0.687253 0.148866 -0.074443
0.180000 0.267737 0.683878 0.144293 -0.073053
0.190000 0.264780 0.685087 0.138242 -0.072078
0.200000 0.261840 0.686191 0.132171 -0.071030
0.210000 0.258918 0.687150 0.126096 -0.069907
0.220000 0.256015 0.687968 0.120021 -0.068710
0.230000 0.253132 0.688645 0.113950 -0.067441
0.240000 0.250268 0.689184 0.107885 -0.066102
0.250000 0.247426 0.689587 0.101830 -0.064696
0.260000 0.244606 0.691656 0.096509 -0.062663
0.270000 0.241810 0.693889 0.091269 -0.059907
0.280000 0.239036 0.696191 0.086038 -0.057095
0.290000 0.236288 0.698552 0.080820 -0.054235
0.300000 0.233564 0.700960 0.075617 -0.051332
0.310000 0.230867 0.703406 0.070431 -0.048392
0.320000 0.228197 0.704693 0.066953 -0.045602
0.330000 0.225554 0.704502 0.065776 -0.043017
0.340000 0.222940 0.704585 0.064599 -0.040169
0.350000 0.220355 0.705041 0.063418 -0.037402
0.360000 0.217800 0.705851 0.062236 -0.034710
0.370000 0.215276 0.706997 0.061051 -0.032086
0.380000 0.212783 0.708465 0.059864 -0.029526
0.390000 0.210323 0.710238 0.058674 -0.027024
0.400000 0.207895 0.712007 0.057442 -0.025861
0.410000 0.205501 0.712365 0.055941 -0.025833
0.420000 0.203141 0.712822 0.054448 -0.025806
0.430000 0.200817 0.713382 0.052962 -0.025780
0.440000 0.198528 0.714045 0.051486 -0.025754
0.450000 0.196275 0.714813 0.050019 -0.025731
0.460000 0.194060 0.715687 0.048562 -0.025710
0.470000 0.191882 0.716668 0.047115 -0.025692
0.480000 0.189742 0.717620 0.045937 -0.025683
0.490000 0.187642 0.718482 0.044829 -0.025381
0.500000 0.185581 0.719091 0.043740 -0.025089
0.510000 0.183560 0.719477 0.042669 -0.024808
0.520000 0.181580 0.719664 0.041619 -0.024537
0.530000 0.179641 0.719676 0.040588 -0.024277
0.540000 0.177744 0.719537 0.039577 -0.024028
0.550000 0.175889 0.719266 0.038586 -0.023789
0.560000 0.174078 0.718875 0.037615 -0.023684
0.570000 0.172310 0.718367 0.036666 -0.023662
0.580000 0.170586 0.717540 0.035332 -0.023615
0.590000 0.168906 0.716569 0.033893 -0.023568
0.600000 0.167272 0.715542 0.032487 -0.023532
0.610000 0.165683 0.714476 0.031114 -0.023508
0.620000 0.164140 0.713383 0.029775 -0.023494
0.630000 0.162643 0.712276 0.028469 -0.023492
0.640000 0.161194 0.711166 0.027196 -0.023498
0.650000 0.159791 0.710065 0.025958 -0.023515
0.660000 0.158436 0.708961 0.024756 -0.023447
