# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322864 0.732151 0.225087 -0.091676
0.010000 0.319752 0.730526 0.218482 -0.090718
0.020000 0.316641 0.728388 0.211897 -0.089559
0.030000 0.313533 0.725787 0.205448 -0.088226
0.040000 0.310426 0.722767 0.199477 -0.086740
0.050000 0.307324 0.719367 0.193523 -0.085121
0.060000 0.304226 0.715855 0.187587 -0.083663
0.070000 0.301134 0.712406 0.181668 -0.082468
0.080000 0.298048 0.708855 0.175788 -0.081214
0.090000 0.294969 0.705231 0.170072 -0.079908
0.100000 0.291899 0.701558 0.164375 -0.078558
0.110000 0.288837 0.697857 0.158698 -0.077170
0.120000 0.285786 0.694148 0.153043 -0.075748
0.130000 0.282745 0.690252 0.147410 -0.074071
0.140000 0.279717 0.686315 0.141031 -0.072292
0.150000 0.276700 0.682411 0.133634 -0.070488
0.160000 0.273698 0.678552 0.126265 -0.068662
0.170000 0.270710 0.674696 0.118929 -0.066820
0.180000 0.267737 0.670778 0.111627 -0.064966
0.190000 0.264780 0.667097 0.104362 -0.062829
0.200000 0.261840 0.664267 0.097690 -0.059851
0.210000 0.258918 0.661369 0.091453 -0.056866
0.220000 0.256015 0.658412 0.085250 -0.053877
0.230000 0.253132 0.655401 0.079083 -0.050886
0.240000 0.250268 0.652356 0.072955 -0.047897
0.250000 0.247426 0.649539 0.067550 -0.044908
0.260000 0.244606 0.647361 0.066213 -0.041623
0.270000 0.241810 0.645696 0.064882 -0.038321
0.280000 0.239036 0.644505 0.063557 -0.035024
0.290000 0.236288 0.643758 0.062240 -0.031733
0.300000 0.233564 0.643428 0.060929 -0.028452
0.310000 0.230867 0.643189 0.059627 -0.025877
0.320000 0.228197 0.642323 0.058268 -0.026029
0.330000 0.225554 0.642233 0.056601 -0.026168
0.340000 0.222940 0.642862 0.054943 -0.026293
0.350000 0.220355 0.644151 0.053294 -0.026407
0.360000 0.217800 0.646048 0.051654 -0.026508
0.370000 0.215276 0.648500 0.050024 -0.026598
0.380000 0.212783 0.651256 0.048429 -0.026680
0.390000 0.210323 0.653723 0.047206 -0.026297
0.400000 0.207895 0.656199 0.045994 -0.025871
0.410000 0.205501 0.658718 0.044794 -0.025448
0.420000 0.203141 0.661286 0.043606 -0.025028
0.430000 0.200817 0.663904 0.042432 -0.024611
0.440000 0.198528 0.666573 0.041270 -0.024197
0.450000 0.196275 0.669122 0.040124 -0.023945
0.460000 0.194060 0.671284 0.039000 -0.023823
0.470000 0.191882 0.672997 0.037318 -0.023712
0.480000 0.189742 0.674313 0.035569 -0.023611
0.490000 0.187642 0.675291 0.033857 -0.023521
0.500000 0.185581 0.675972 0.032182 -0.023440
0.510000 0.183560 0.676400 0.030544 -0.023369
0.520000 0.181580 0.676587 0.028945 -0.023307
0.530000 0.179641 0.676559 0.027384 -0.023242
0.540000 0.177744 0.676390 0.025863 -0.022815
0.550000 0.175889 0.676064 0.024604 -0.022405
0.560000 0.174078 0.675600 0.024201 -0.022008
0.570000 0.172310 0.675035 0.023812 -0.021627
0.580000 0.170586 0.674385 0.023437 -0.021262
0.590000 0.168906 0.673673 0.023077 -0.020912
0.600000 0.167272 0.672862 0.022732 -0.020578
0.610000 0.165683 0.671881 0.022404 -0.020262
0.620000 0.164140 0.670722 0.022093 -0.019987
0.630000 0.162643 0.669380 0.021798 -0.020376
0.640000 0.161194 0.667919 0.021521 -0.020764
