# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322877 0.744975 0.225082 -0.093593
0.010000 0.317692 0.730120 0.214327 -0.089136
0.020000 0.312510 0.720000 0.203861 -0.085176
0.030000 0.307338 0.720000 0.194015 -0.082278
0.040000 0.302178 0.720000 0.184193 -0.079388
0.050000 0.297034 0.718376 0.174486 -0.076342
0.060000 0.291912 0.712507 0.165036 -0.072879
0.070000 0.286816 0.706666 0.155633 -0.069433
0.080000 0.281748 0.700859 0.146284 -0.066007
0.090000 0.276714 0.712273 0.134370 -0.060886
0.100000 0.271718 0.726586 0.122089 -0.055504
0.110000 0.266763 0.740781 0.109910 -0.050166
0.120000 0.261854 0.758612 0.098383 -0.044687
0.130000 0.256994 0.783361 0.087988 -0.038902
0.140000 0.252188 0.807837 0.077708 -0.033180
0.150000 0.247440 0.830827 0.068212 -0.028031
0.160000 0.242753 0.840592 0.065990 -0.028397
0.170000 0.238131 0.850222 0.063799 -0.028758
0.180000 0.233578 0.859708 0.061641 -0.029114
0.190000 0.229097 0.869043 0.059518 -0.029464
0.200000 0.224693 0.864977 0.056889 -0.029023
0.210000 0.220369 0.859471 0.054246 -0.028500
0.220000 0.216127 0.854071 0.051654 -0.027987
0.230000 0.211973 0.848504 0.049261 -0.027595
0.240000 0.207909 0.842153 0.047398 -0.027574
0.250000 0.203938 0.835948 0.045578 -0.027553
0.260000 0.200063 0.829894 0.043802 -0.027533
0.270000 0.196289 0.823996 0.042072 -0.027513
0.280000 0.192617 0.816808 0.040044 -0.027289
0.290000 0.189051 0.806592 0.037307 -0.026615
0.300000 0.185594 0.796688 0.034653 -0.025961
0.310000 0.182249 0.787104 0.032084 -0.025329
0.320000 0.179017 0.777847 0.029603 -0.024718
0.330000 0.175903 0.769570 0.027425 -0.024273
0.340000 0.172908 0.766138 0.026824 -0.024857
0.350000 0.170034 0.762845 0.026248 -0.025416
0.360000 0.167285 0.759695 0.025697 -0.025952
0.370000 0.164663 0.756689 0.025171 -0.026463
0.380000 0.162168 0.753831 0.024670 -0.026949
0.390000 0.159805 0.751123 0.024196 -0.027409
0.400000 0.157573 0.748566 0.023749 -0.027844
0.410000 0.155476 0.746163 0.023328 -0.028252
0.420000 0.153515 0.743915 0.022935 -0.028634
0.430000 0.151692 0.741826 0.022570 -0.028990
0.440000 0.150007 0.739896 0.022232 -0.029318
0.450000 0.148463 0.738126 0.021922 -0.029619
0.460000 0.147061 0.736519 0.021641 -0.029892
0.470000 0.145801 0.735076 0.021388 -0.030137
0.480000 0.144685 0.733797 0.021165 -0.030354
0.490000 0.143714 0.732684 0.020970 -0.030544
0.500000 0.142889 0.731738 0.020804 -0.030704
0.510000 0.142209 0.730960 0.020668 -0.030837
0.520000 0.141677 0.730350 0.020561 -0.030941
0.530000 0.141291 0.729793 0.020476 -0.030997
0.540000 0.141053 0.729179 0.020405 -0.030988
0.550000 0.140963 0.728946 0.020378 -0.030985
0.560000 0.141020 0.729094 0.020395 -0.030987
0.570000 0.141225 0.729623 0.020456 -0.030995
0.580000 0.141578 0.730236 0.020541 -0.030960
0.590000 0.142078 0.730809 0.020642 -0.030862
0.600000 0.142724 0.731550 0.020771 -0.030736
0.610000 0.143517 0.732459 0.020930 -0.030582
0.620000 0.144456 0.733535 0.021119 -0.030399
0.630000 0.145540 0.734776 0.021336 -0.030188
0.640000 0.146767 0.736183 0.021582 -0.029949
0.650000 0.148138 0.737754 0.021857 -0.029682
0.660000 0.149651 0.739487 0.022160 -0.029387
0.670000 0.151304 0.741381 0.022492 -0.029065
0.680000 0.153096 0.743436 0.022851 -0.028716
0.690000 0.155027 0.745648 0.023238 -0.028340
0.700000 0.157094 0.748016 0.023653 -0.027937
0.710000 0.159295 0.750539 0.024094 -0.027508
0.720000 0.161630 0.753214 0.024562 -0.027054
0.730000 0.164095 0.756039 0.025057 -0.026573
0.740000 0.166689 0.759012 0.025577 -0.026068
0.750000 0.169410 0.762130 0.026123 -0.025538
0.760000 0.172256 0.765391 0.026693 -0.024984
0.770000 0.175224 0.768792 0.027289 -0.024405
0.780000 0.178312 0.775827 0.029062 -0.024585
0.790000 0.181518 0.785010 0.031523 -0.025191
0.800000 0.184838 0.794522 0.034072 -0.025818
0.810000 0.188271 0.804355 0.036707 -0.026467
0.820000 0.191812 0.814502 0.039427 -0.027137
0.830000 0.195461 0.822702 0.041693 -0.027509
0.840000 0.199212 0.828565 0.043412 -0.027529
0.850000 0.203065 0.834584 0.045178 -0.027549
0.860000 0.207014 0.840756 0.046988 -0.027569
0.870000 0.211058 0.847075 0.048842 -0.027590
0.880000 0.215193 0.852881 0.051083 -0.027874
0.890000 0.219415 0.858257 0.053663 -0.028384
0.900000 0.223721 0.863739 0.056295 -0.028905
0.910000 0.228108 0.869325 0.058976 -0.029436
0.920000 0.232572 0.861804 0.061164 -0.029193
0.930000 0.237109 0.852351 0.063315 -0.028838
0.940000 0.241716 0.842753 0.065499 -0.028478
0.950000 0.246389 0.833017 0.067714 -0.028113
0.960000 0.251124 0.813259 0.075431 -0.031913
0.970000 0.255917 0.788846 0.085685 -0.037620
0.980000 0.260765 0.764156 0.096054 -0.043391
0.990000 0.265664 0.743930 0.107208 -0.048982
1.000000 0.270609 0.729764 0.119363 -0.054309
1.010000 0.275596 0.715476 0.131622 -0.059681
1.020000 0.280622 0.701077 0.143976 -0.065095
1.030000 0.285682 0.705368 0.153542 -0.068667
1.040000 0.290773 0.711201 0.162934 -0.072109
1.050000 0.295890 0.717065 0.172374 -0.075568
1.060000 0.301029 0.720000 0.182006 -0.078744
1.070000 0.306185 0.720000 0.191821 -0.081633
1.080000 0.311356 0.720000 0.201663 -0.084529
1.090000 0.316535 0.726807 0.211928 -0.088142
1.100000 0.321720 0.741661 0.222682 -0.092598
1.110000 0.326906 0.756517 0.233439 -0.097055
1.120000 0.332089 0.770546 0.244139 -0.101351
1.130000 0.337265 0.776477 0.254340 -0.104079
1.140000 0.342428 0.782394 0.264518 -0.106801
1.150000 0.347576 0.788293 0.274664 -0.109515
1.160000 0.352705 0.794964 0.285761 -0.112236
1.170000 0.357809 0.801927 0.297207 -0.114951
1.180000 0.362884 0.808851 0.308591 -0.117652
1.190000 0.367928 0.815731 0.319902 -0.120335
1.200000 0.372934 0.822561 0.331130 -0.122999
1.210000 0.377901 0.829336 0.342268 -0.125641
1.220000 0.382822 0.836050 0.353306 -0.128259
1.230000 0.387695 0.839433 0.363018 -0.130265
1.240000 0.392516 0.838053 0.370862 -0.131397
1.250000 0.397280 0.836688 0.378614 -0.132516
1.260000 0.401983 0.835340 0.386267 -0.133621
1.270000 0.406623 0.834011 0.393817 -0.134711
1.280000 0.411194 0.832702 0.401255 -0.135785
1.290000 0.415694 0.831412 0.408577 -0.136842
1.300000 0.420119 0.830145 0.415777 -0.137881
1.310000 0.424464 0.827800 0.422529 -0.139001
1.320000 0.428727 0.825357 0.429112 -0.140112
1.330000 0.432904 0.822964 0.435562 -0.141201
1.340000 0.436992 0.820622 0.441874 -0.142267
1.350000 0.440988 0.818333 0.448043 -0.143309
1.360000 0.444887 0.816099 0.454064 -0.144325
1.370000 0.448687 0.813921 0.459932 -0.145316
1.380000 0.452385 0.811802 0.465643 -0.146280
1.390000 0.455978 0.811753 0.472037 -0.147641
1.400000 0.459463 0.825415 0.484017 -0.151855
1.410000 0.462837 0.838641 0.495616 -0.155935
1.420000 0.466097 0.851422 0.506824 -0.159877
1.430000 0.469241 0.863747 0.517632 -0.163679
1.440000 0.472266 0.875606 0.528031 -0.167337
1.450000 0.475170 0.886989 0.538013 -0.170848
1.460000 0.477950 0.897887 0.547570 -0.174210
1.470000 0.480604 0.908291 0.556694 -0.177419
1.480000 0.483130 0.918193 0.565377 -0.180473
1.490000 0.485525 0.927584 0.573613 -0.183370
1.500000 0.487789 0.936458 0.581394 -0.186107
1.510000 0.489918 0.943863 0.588395 -0.188405
1.520000 0.491912 0.950146 0.594730 -0.190364
1.530000 0.493769 0.955997 0.600628 -0.192188
1.540000 0.495486 0.961409 0.606085 -0.193876
1.550000 0.497063 0.966380 0.611096 -0.195426
1.560000 0.498499 0.970905 0.615658 -0.196837
1.570000 0.499792 0.974980 0.619766 -0.198107
1.580000 0.500942 0.978602 0.623417 -0.199237
1.590000 0.501946 0.981767 0.626609 -0.200224
1.600000 0.502806 0.984475 0.629339 -0.201068
1.610000 0.503518 0.986721 0.631604 -0.201769
1.620000 0.504085 0.988505 0.633402 -0.202325
1.630000 0.504503 0.989825 0.634733 -0.202736
1.640000 0.504775 0.990680 0.635595 -0.203003
1.650000 0.504898 0.991069 0.635987 -0.203124
1.660000 0.504874 0.990992 0.635910 -0.203100
1.670000 0.504701 0.990449 0.635362 -0.202931
1.680000 0.504381 0.989440 0.634345 -0.202616
1.690000 0.503914 0.987967 0.632859 -0.202157
1.700000 0.503299 0.986030 0.630906 -0.201553
1.710000 0.502538 0.983630 0.628487 -0.200805
1.720000 0.501630 0.980771 0.625605 -0.199913
1.730000 0.500578 0.977454 0.622261 -0.198879
1.740000 0.499381 0.973682 0.618458 -0.197703
1.750000 0.498040 0.969458 0.614199 -0.196386
1.760000 0.496557 0.964785 0.609488 -0.194929
1.770000 0.494934 0.959668 0.604329 -0.193333
1.780000 0.493170 0.954110 0.598726 -0.191600
1.790000 0.491268 0.948116 0.592683 -0.189731
1.800000 0.489229 0.941691 0.586205 -0.187727
1.810000 0.487055 0.933581 0.578871 -0.185220
1.820000 0.484747 0.924536 0.570939 -0.182430
1.830000 0.482309 0.914974 0.562555 -0.179481
1.840000 0.479740 0.904906 0.553725 -0.176375
1.850000 0.477044 0.894337 0.544457 -0.173115
1.860000 0.474223 0.883278 0.534759 -0.169703
1.870000 0.471279 0.871736 0.524638 -0.166143
1.880000 0.468214 0.859722 0.514102 -0.162437
1.890000 0.465032 0.847245 0.503161 -0.158589
1.900000 0.461734 0.834316 0.491823 -0.154601
1.910000 0.458323 0.820944 0.480097 -0.150476
1.920000 0.454802 0.810418 0.469374 -0.146910
1.930000 0.451174 0.812496 0.463772 -0.145964
1.940000 0.447442 0.814635 0.458009 -0.144991
1.950000 0.443608 0.816831 0.452090 -0.143992
1.960000 0.439677 0.819084 0.446019 -0.142967
1.970000 0.435651 0.821391 0.439802 -0.141917
1.980000 0.431533 0.823750 0.433444 -0.140844
1.990000 0.427327 0.826160 0.426949 -0.139747
2.000000 0.423036 0.828618 0.420324 -0.138629
2.010000 0.418664 0.830562 0.413410 -0.137539
2.020000 0.414214 0.831836 0.406169 -0.136494
2.030000 0.409690 0.833132 0.398808 -0.135431
2.040000 0.405096 0.834449 0.391332 -0.134352
2.050000 0.400435 0.835784 0.383747 -0.133257
2.060000 0.395711 0.837137 0.376061 -0.132147
2.070000 0.390928 0.838507 0.368278 -0.131024
2.080000 0.386089 0.839894 0.360405 -0.129887
2.090000 0.381200 0.833837 0.349668 -0.127396
2.100000 0.376263 0.827102 0.338596 -0.124770
2.110000 0.371283 0.820308 0.327427 -0.122120
2.120000 0.366264 0.813461 0.316170 -0.119450
