# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322582 0.686155 0.224497 -0.078959
0.010000 0.314737 0.682374 0.207837 -0.076723
0.020000 0.306912 0.678233 0.192582 -0.074362
0.030000 0.299123 0.673732 0.177512 -0.071883
0.040000 0.291388 0.669584 0.162939 -0.070203
0.050000 0.283723 0.665167 0.148547 -0.068510
0.060000 0.276143 0.660481 0.131408 -0.066770
0.070000 0.268662 0.655560 0.112865 -0.064991
0.080000 0.261294 0.650312 0.095312 -0.063044
0.090000 0.254052 0.644643 0.079668 -0.060770
0.100000 0.246947 0.638808 0.065783 -0.058464
0.110000 0.239992 0.632840 0.062354 -0.056134
0.120000 0.233202 0.626767 0.059013 -0.053790
0.130000 0.226588 0.621729 0.055477 -0.050289
0.140000 0.220162 0.616967 0.051424 -0.046347
0.150000 0.213940 0.612122 0.047510 -0.042411
0.160000 0.207942 0.607257 0.044513 -0.038502
0.170000 0.202181 0.602436 0.041793 -0.034483
0.180000 0.196668 0.597671 0.039201 -0.030211
0.190000 0.191412 0.592882 0.036015 -0.025993
0.200000 0.186424 0.588119 0.032130 -0.021844
0.210000 0.181718 0.582835 0.028475 -0.019344
0.220000 0.177310 0.576600 0.025063 -0.020168
0.230000 0.173195 0.570603 0.023655 -0.021016
0.240000 0.169363 0.564650 0.022906 -0.021830
0.250000 0.165818 0.558919 0.022222 -0.022643
0.260000 0.162563 0.553509 0.021602 -0.023402
0.270000 0.159603 0.548175 0.021044 -0.023533
0.280000 0.156948 0.543319 0.020551 -0.023689
0.290000 0.154605 0.539009 0.020123 -0.023883
0.300000 0.152579 0.535233 0.019762 -0.024109
0.310000 0.150873 0.531976 0.019468 -0.024426
0.320000 0.149489 0.529255 0.019243 -0.025046
0.330000 0.148428 0.527183 0.019084 -0.025686
0.340000 0.147692 0.525849 0.018991 -0.026348
0.350000 0.147281 0.525299 0.018965 -0.027045
0.360000 0.147192 0.525494 0.019007 -0.027775
0.370000 0.147423 0.526294 0.019122 -0.028538
0.380000 0.147972 0.527622 0.019315 -0.029344
0.390000 0.148837 0.529499 0.019587 -0.030088
0.400000 0.150020 0.531913 0.019942 -0.030622
0.410000 0.151528 0.534877 0.020384 -0.031238
0.420000 0.153367 0.538440 0.020917 -0.031946
0.430000 0.155540 0.542615 0.021543 -0.032745
0.440000 0.158049 0.547433 0.022265 -0.033642
