# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322489 0.743863 0.224277 -0.093259
0.010000 0.314653 0.721416 0.208025 -0.086525
0.020000 0.306844 0.720000 0.193075 -0.082002
0.030000 0.299064 0.720000 0.178266 -0.077643
0.040000 0.291337 0.711848 0.163975 -0.072490
0.050000 0.283690 0.703085 0.149866 -0.067320
0.060000 0.276122 0.713968 0.132916 -0.060248
0.070000 0.268624 0.735449 0.114485 -0.052171
0.080000 0.261196 0.761960 0.096977 -0.043904
0.090000 0.253844 0.799403 0.081251 -0.035152
0.100000 0.246589 0.832600 0.067808 -0.028098
0.110000 0.239483 0.847404 0.064441 -0.028653
0.120000 0.232567 0.861815 0.061162 -0.029193
0.130000 0.225847 0.866446 0.057594 -0.029162
0.140000 0.219328 0.858146 0.053610 -0.028374
0.150000 0.213003 0.850092 0.049744 -0.027609
0.160000 0.206873 0.840535 0.046924 -0.027568
0.170000 0.200952 0.831282 0.044209 -0.027538
0.180000 0.195254 0.822380 0.041598 -0.027508
0.190000 0.189801 0.808740 0.037882 -0.026757
0.200000 0.184604 0.793851 0.033892 -0.025774
0.210000 0.179666 0.779705 0.030101 -0.024841
0.220000 0.174986 0.768519 0.027241 -0.024452
0.230000 0.170557 0.763444 0.026353 -0.025315
0.240000 0.166370 0.758646 0.025513 -0.026130
0.250000 0.162426 0.754127 0.024722 -0.026898
0.260000 0.158739 0.749902 0.023983 -0.027617
0.270000 0.155334 0.746000 0.023300 -0.028280
0.280000 0.152241 0.742455 0.022680 -0.028883
0.290000 0.149479 0.739291 0.022126 -0.029421
0.300000 0.147061 0.736519 0.021641 -0.029892
0.310000 0.144991 0.734148 0.021226 -0.030295
0.320000 0.143283 0.732190 0.020883 -0.030628
0.330000 0.141952 0.730665 0.020616 -0.030887
0.340000 0.141018 0.729087 0.020395 -0.030987
0.350000 0.140493 0.727735 0.020238 -0.030967
0.360000 0.140382 0.727447 0.020205 -0.030963
0.370000 0.140678 0.728210 0.020293 -0.030974
0.380000 0.141367 0.729989 0.020499 -0.031000
0.390000 0.142428 0.731210 0.020712 -0.030794
0.400000 0.143828 0.732814 0.020993 -0.030522
0.410000 0.145534 0.734770 0.021335 -0.030189
0.420000 0.147521 0.737046 0.021733 -0.029802
0.430000 0.149773 0.739627 0.022185 -0.029363
0.440000 0.152288 0.742509 0.022689 -0.028874
0.450000 0.155068 0.745695 0.023247 -0.028332
0.460000 0.158114 0.749186 0.023857 -0.027738
0.470000 0.161422 0.752976 0.024521 -0.027094
0.480000 0.164984 0.757058 0.025235 -0.026400
0.490000 0.168798 0.761428 0.026000 -0.025657
0.500000 0.172860 0.766083 0.026815 -0.024866
0.510000 0.177174 0.772567 0.028188 -0.024369
0.520000 0.181742 0.785653 0.031695 -0.025233
0.530000 0.186567 0.799475 0.035399 -0.026145
0.540000 0.191655 0.814050 0.039305 -0.027107
0.550000 0.197009 0.825121 0.042402 -0.027517
0.560000 0.202629 0.833903 0.044978 -0.027546
0.570000 0.208505 0.843085 0.047671 -0.027577
0.580000 0.214622 0.852154 0.050734 -0.027805
0.590000 0.220969 0.860235 0.054613 -0.028572
0.600000 0.227533 0.868592 0.058624 -0.029366
0.610000 0.234314 0.858175 0.061990 -0.029057
0.620000 0.241311 0.843596 0.065307 -0.028510
0.630000 0.248503 0.826609 0.069824 -0.028793
0.640000 0.255882 0.789027 0.085609 -0.037577
0.650000 0.263428 0.750595 0.101750 -0.046561
0.660000 0.271073 0.728433 0.120504 -0.054809
0.670000 0.278755 0.706427 0.139385 -0.063083
0.680000 0.286415 0.706208 0.154894 -0.069162
0.690000 0.294013 0.714914 0.168912 -0.074299
0.700000 0.301560 0.720000 0.183017 -0.079042
0.710000 0.309094 0.720000 0.197358 -0.083262
0.720000 0.316642 0.727113 0.212150 -0.088234
0.730000 0.324203 0.748774 0.227832 -0.094732
0.740000 0.331766 0.770176 0.243502 -0.101181
0.750000 0.339332 0.778846 0.258414 -0.105169
0.760000 0.346911 0.787531 0.273353 -0.109164
0.770000 0.354513 0.797432 0.289817 -0.113198
0.780000 0.362144 0.807841 0.306931 -0.117258
0.790000 0.369798 0.818283 0.324096 -0.121330
0.800000 0.377460 0.828735 0.341280 -0.125407
0.810000 0.385103 0.839161 0.358420 -0.129473
0.820000 0.392694 0.838001 0.371152 -0.131439
0.830000 0.400191 0.835854 0.383350 -0.133200
0.840000 0.407535 0.833750 0.395301 -0.134925
0.850000 0.414676 0.831704 0.406921 -0.136603
0.860000 0.421580 0.829453 0.418075 -0.138249
0.870000 0.428230 0.825642 0.428344 -0.139983
0.880000 0.434617 0.821983 0.438207 -0.141648
0.890000 0.440724 0.818484 0.447636 -0.143240
0.900000 0.446525 0.815160 0.456594 -0.144752
0.910000 0.451995 0.812026 0.465040 -0.146178
0.920000 0.457111 0.816194 0.475932 -0.149011
0.930000 0.461858 0.834802 0.492250 -0.154751
0.940000 0.466235 0.851962 0.507297 -0.160044
0.950000 0.470262 0.867750 0.521142 -0.164914
0.960000 0.473970 0.882285 0.533889 -0.169397
0.970000 0.477397 0.895720 0.545669 -0.173541
0.980000 0.480580 0.908199 0.556613 -0.177391
0.990000 0.483544 0.919818 0.566802 -0.180975
1.000000 0.486295 0.930601 0.576258 -0.184301
1.010000 0.488827 0.940426 0.584930 -0.187333
1.020000 0.491137 0.947703 0.592266 -0.189602
1.030000 0.493218 0.954261 0.598877 -0.191647
1.040000 0.495063 0.960077 0.604742 -0.193460
1.050000 0.496658 0.965101 0.609807 -0.195027
