# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.316463 0.726721 0.211813 -0.083602
0.010000 0.308625 0.719024 0.201349 -0.082667
0.020000 0.300833 0.714255 0.191150 -0.081921
0.030000 0.293093 0.709109 0.180822 -0.080845
0.040000 0.285419 0.702009 0.170586 -0.079330
0.050000 0.277828 0.693727 0.160434 -0.077445
0.060000 0.270339 0.685425 0.150294 -0.075392
0.070000 0.262969 0.681177 0.138886 -0.073657
0.080000 0.255722 0.682655 0.125556 -0.072294
0.090000 0.248607 0.683531 0.112302 -0.070501
0.100000 0.241638 0.684409 0.099441 -0.068323
0.110000 0.234826 0.687909 0.088211 -0.066040
0.120000 0.228188 0.690317 0.077185 -0.063261
0.130000 0.221752 0.691046 0.067077 -0.060133
0.140000 0.215555 0.686324 0.064710 -0.055243
0.150000 0.209648 0.682034 0.062415 -0.050501
0.160000 0.204064 0.678186 0.060189 -0.045935
0.170000 0.198814 0.674720 0.058034 -0.041549
0.180000 0.193898 0.668971 0.055441 -0.036459
0.190000 0.189321 0.664083 0.052854 -0.031692
0.200000 0.185069 0.660337 0.050330 -0.027246
0.210000 0.181125 0.657526 0.047850 -0.024595
0.220000 0.177454 0.655094 0.045877 -0.024761
0.230000 0.173999 0.653081 0.044020 -0.024912
0.240000 0.170729 0.651556 0.042197 -0.025026
0.250000 0.167628 0.650523 0.040411 -0.025153
0.260000 0.164677 0.649845 0.038675 -0.024933
0.270000 0.161880 0.649108 0.036782 -0.024526
0.280000 0.159259 0.647971 0.034268 -0.024096
0.290000 0.156836 0.647035 0.031899 -0.023766
0.300000 0.154631 0.646426 0.029696 -0.023668
0.310000 0.152673 0.646229 0.027678 -0.023853
0.320000 0.150997 0.646510 0.025857 -0.024157
0.330000 0.149642 0.647356 0.024248 -0.024586
0.340000 0.148633 0.648879 0.022870 -0.025175
0.350000 0.147982 0.651404 0.022256 -0.025931
0.360000 0.147699 0.654772 0.021953 -0.026746
0.370000 0.147799 0.658786 0.021738 -0.027337
0.380000 0.148285 0.663302 0.021619 -0.028029
0.390000 0.149158 0.668433 0.021597 -0.028818
0.400000 0.150427 0.674297 0.021675 -0.029700
0.410000 0.152108 0.680895 0.021860 -0.030667
0.420000 0.154218 0.688087 0.022162 -0.031678
0.430000 0.156753 0.695697 0.022591 -0.032734
0.440000 0.159674 0.703638 0.023144 -0.033779
0.450000 0.162935 0.712070 0.024307 -0.034768
0.460000 0.166508 0.720811 0.025814 -0.035706
0.470000 0.170362 0.729708 0.027493 -0.036612
0.480000 0.174433 0.738708 0.029321 -0.037444
0.490000 0.178641 0.747820 0.031273 -0.038118
0.500000 0.182913 0.757120 0.033338 -0.038631
0.510000 0.187219 0.766734 0.035517 -0.039050
0.520000 0.191573 0.776792 0.037826 -0.039502
0.530000 0.196013 0.787398 0.040286 -0.040104
0.540000 0.200568 0.798621 0.042913 -0.040854
0.550000 0.205258 0.810321 0.045240 -0.041687
0.560000 0.210103 0.822476 0.047333 -0.042585
0.570000 0.215120 0.835193 0.049537 -0.043553
0.580000 0.220325 0.848393 0.051854 -0.044564
0.590000 0.225729 0.861984 0.054288 -0.045612
0.600000 0.231339 0.875894 0.056838 -0.046682
0.610000 0.237143 0.889883 0.059817 -0.047330
0.620000 0.243126 0.903819 0.063157 -0.047894
0.630000 0.249275 0.917778 0.066606 -0.048369
0.640000 0.255574 0.931685 0.070149 -0.048746
0.650000 0.262008 0.943968 0.073333 -0.049017
0.660000 0.268552 0.954775 0.076314 -0.049192
0.670000 0.275179 0.965000 0.079310 -0.049344
0.680000 0.281861 0.974491 0.082300 -0.049721
0.690000 0.288567 0.982474 0.087325 -0.049666
0.700000 0.295269 0.985123 0.097381 -0.048389
0.710000 0.301944 0.986570 0.107325 -0.046642
0.720000 0.308574 0.986507 0.117141 -0.043654
0.730000 0.315152 0.986280 0.127995 -0.040488
0.740000 0.321678 0.984885 0.139103 -0.037175
0.750000 0.328144 0.981828 0.150108 -0.033620
