# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322864 0.745127 0.225088 -0.088937
0.010000 0.315017 0.733395 0.214034 -0.087259
0.020000 0.307185 0.723844 0.203133 -0.085692
0.030000 0.299383 0.718857 0.192731 -0.084634
0.040000 0.291625 0.713481 0.182213 -0.083280
0.050000 0.283924 0.706412 0.171752 -0.081452
0.060000 0.276297 0.697542 0.161402 -0.079217
0.070000 0.268756 0.688560 0.151028 -0.076953
0.080000 0.261316 0.683045 0.139552 -0.074957
0.090000 0.253991 0.684175 0.125840 -0.073466
0.100000 0.246794 0.684729 0.112179 -0.071593
0.110000 0.239739 0.685455 0.098921 -0.069314
0.120000 0.232838 0.688762 0.087225 -0.066859
0.130000 0.226105 0.690906 0.075655 -0.063868
0.140000 0.219552 0.690384 0.066539 -0.060653
0.150000 0.213191 0.684963 0.064014 -0.056082
0.160000 0.207035 0.679781 0.061527 -0.050945
0.170000 0.201094 0.674951 0.059080 -0.045976
0.180000 0.195379 0.668593 0.056354 -0.041007
0.190000 0.189902 0.661037 0.053336 -0.035412
0.200000 0.184672 0.654707 0.050376 -0.030200
0.210000 0.179699 0.649580 0.047525 -0.025348
0.220000 0.174993 0.645232 0.045352 -0.023944
0.230000 0.170561 0.641738 0.043236 -0.024086
0.240000 0.166413 0.639015 0.041184 -0.024242
0.250000 0.162556 0.637081 0.039201 -0.024421
0.260000 0.158998 0.635721 0.037134 -0.024370
0.270000 0.155744 0.634186 0.034296 -0.023934
0.280000 0.152801 0.632933 0.031635 -0.023598
0.290000 0.150174 0.632029 0.029159 -0.023361
0.300000 0.147868 0.631522 0.026874 -0.023417
0.310000 0.145888 0.631446 0.024787 -0.023698
0.320000 0.144237 0.631846 0.022903 -0.024068
0.330000 0.142919 0.633110 0.022062 -0.024622
0.340000 0.141935 0.634986 0.021565 -0.025269
0.350000 0.141287 0.637410 0.021142 -0.025973
0.360000 0.140978 0.640349 0.020800 -0.026390
0.370000 0.141006 0.643685 0.020544 -0.026830
0.380000 0.141373 0.647349 0.020380 -0.027336
0.390000 0.142078 0.651353 0.020307 -0.027909
0.400000 0.143119 0.655748 0.020330 -0.028542
0.410000 0.144494 0.660582 0.020448 -0.029232
0.420000 0.146200 0.665895 0.020664 -0.029977
0.430000 0.148236 0.671724 0.020978 -0.030772
0.440000 0.150596 0.678099 0.021393 -0.031614
0.450000 0.153277 0.685075 0.021907 -0.032722
0.460000 0.156273 0.692711 0.022521 -0.033904
