# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322864 0.721491 0.225087 -0.088733
0.010000 0.315017 0.717379 0.208435 -0.086331
0.020000 0.307185 0.711973 0.193152 -0.083447
0.030000 0.299383 0.705711 0.178116 -0.080541
0.040000 0.291625 0.699139 0.163562 -0.078174
0.050000 0.283924 0.691878 0.149194 -0.075612
0.060000 0.276297 0.684082 0.132158 -0.072883
0.070000 0.268756 0.675409 0.113568 -0.069473
0.080000 0.261316 0.666351 0.095934 -0.065865
0.090000 0.253991 0.657049 0.080215 -0.062148
0.100000 0.246794 0.649170 0.066487 -0.056787
0.110000 0.239739 0.641754 0.063107 -0.050607
0.120000 0.232838 0.633998 0.059808 -0.044367
0.130000 0.226105 0.626109 0.056237 -0.037651
0.140000 0.219552 0.618058 0.052193 -0.030714
0.150000 0.213191 0.610145 0.048269 -0.023794
0.160000 0.207035 0.599983 0.045368 -0.024299
0.170000 0.201094 0.590868 0.042595 -0.024777
0.180000 0.195379 0.582806 0.039914 -0.025230
0.190000 0.189902 0.575651 0.036123 -0.024906
0.200000 0.184672 0.570053 0.031977 -0.024185
0.210000 0.179699 0.566186 0.027999 -0.023450
0.220000 0.174993 0.563569 0.024942 -0.023197
0.230000 0.170561 0.561809 0.023893 -0.023086
0.240000 0.166413 0.560858 0.022893 -0.022996
0.250000 0.162556 0.560745 0.021947 -0.022937
0.260000 0.158998 0.561127 0.021072 -0.022165
0.270000 0.155744 0.561414 0.020286 -0.021434
0.280000 0.152801 0.561755 0.019593 -0.020817
0.290000 0.150174 0.562273 0.018996 -0.020316
0.300000 0.147868 0.562999 0.018496 -0.020988
0.310000 0.145888 0.564098 0.018097 -0.022045
0.320000 0.144237 0.565707 0.017798 -0.023129
0.330000 0.142919 0.567874 0.017603 -0.024239
0.340000 0.141935 0.570531 0.017516 -0.025374
0.350000 0.141287 0.573651 0.017532 -0.026530
0.360000 0.140978 0.577341 0.017636 -0.027700
0.370000 0.141006 0.581597 0.017887 -0.028886
0.380000 0.141373 0.586363 0.018295 -0.030088
0.390000 0.142078 0.591826 0.018790 -0.031308
0.400000 0.143119 0.598179 0.019407 -0.032539
0.410000 0.144494 0.605468 0.020148 -0.033777
0.420000 0.146200 0.613722 0.021012 -0.035018
0.430000 0.148236 0.622957 0.022000 -0.036254
0.440000 0.150596 0.633181 0.023114 -0.037479
0.450000 0.153277 0.644386 0.024353 -0.038685
0.460000 0.156273 0.654134 0.025333 -0.039866
0.470000 0.159579 0.661898 0.025951 -0.041010
0.480000 0.163189 0.671497 0.026802 -0.042110
0.490000 0.167096 0.682851 0.027887 -0.043150
0.500000 0.171292 0.695891 0.029207 -0.044122
0.510000 0.175771 0.710547 0.030766 -0.045020
0.520000 0.180523 0.726715 0.034986 -0.045830
0.530000 0.185540 0.744306 0.039888 -0.046545
0.540000 0.190812 0.763220 0.045180 -0.047156
0.550000 0.196330 0.783369 0.050047 -0.047660
0.560000 0.202084 0.804650 0.054311 -0.048051
0.570000 0.208062 0.826959 0.058885 -0.048326
0.580000 0.214254 0.850202 0.063971 -0.048483
0.590000 0.220648 0.874194 0.070130 -0.049455
0.600000 0.227233 0.898840 0.076625 -0.050977
0.610000 0.233995 0.924311 0.082641 -0.052488
0.620000 0.240923 0.950651 0.088719 -0.054009
0.630000 0.248003 0.977676 0.095288 -0.054984
0.640000 0.255223 1.005280 0.113340 -0.055593
0.650000 0.262568 1.033340 0.131588 -0.056177
0.660000 0.270026 1.061587 0.152203 -0.056727
0.670000 0.277583 1.089603 0.173382 -0.057839
0.680000 0.285224 1.117674 0.192729 -0.058985
0.690000 0.292935 1.145544 0.210733 -0.059880
0.700000 0.300702 1.172425 0.229158 -0.059824
0.710000 0.308510 1.199072 0.248057 -0.059761
0.720000 0.316345 1.224780 0.267791 -0.060744
0.730000 0.324193 1.245554 0.289229 -0.068945
0.740000 0.332038 1.264955 0.310891 -0.077279
0.750000 0.339867 1.283145 0.331828 -0.085164
0.760000 0.347664 1.300478 0.353293 -0.092994
0.770000 0.355415 1.317257 0.376964 -0.100544
0.780000 0.363106 1.335995 0.401499 -0.105951
0.790000 0.370722 1.353641 0.426622 -0.111539
0.800000 0.378249 1.370052 0.452361 -0.116845
0.810000 0.385674 1.385668 0.478573 -0.122181
0.820000 0.392982 1.401401 0.500301 -0.128747
0.830000 0.400159 1.417815 0.522235 -0.136798
0.840000 0.407193 1.434024 0.544238 -0.145155
0.850000 0.414071 1.448589 0.566010 -0.151488
0.860000 0.420779 1.462203 0.587391 -0.157966
0.870000 0.427304 1.474686 0.607809 -0.164621
0.880000 0.433636 1.486131 0.627851 -0.171447
0.890000 0.439762 1.497057 0.647498 -0.178439
0.900000 0.445670 1.507649 0.666557 -0.185601
0.910000 0.451350 1.517473 0.684750 -0.192868
0.920000 0.456791 1.526319 0.704501 -0.199850
0.930000 0.461983 1.534165 0.731155 -0.205152
0.940000 0.466916 1.541197 0.756471 -0.210464
0.950000 0.471581 1.547489 0.780394 -0.215809
0.960000 0.475970 1.553070 0.802845 -0.221169
0.970000 0.480073 1.557893 0.823735 -0.226519
0.980000 0.483884 1.561924 0.843008 -0.231919
0.990000 0.487396 1.565190 0.860618 -0.237308
1.000000 0.490601 1.567724 0.876002 -0.242605
1.010000 0.493494 1.569476 0.889376 -0.247789
1.020000 0.496070 1.570278 0.901092 -0.252833
1.030000 0.498324 1.570174 0.911244 -0.257730
1.040000 0.500250 1.569471 0.919910 -0.262878
1.050000 0.501847 1.568986 0.927051 -0.271887
1.060000 0.503111 1.567764 0.932632 -0.280561
1.070000 0.504039 1.565800 0.936623 -0.288871
1.080000 0.504630 1.563082 0.938997 -0.296784
1.090000 0.504883 1.559579 0.939735 -0.304269
1.100000 0.504797 1.555084 0.938846 -0.311169
1.110000 0.504372 1.549044 0.936193 -0.317270
1.120000 0.503610 1.541027 0.931527 -0.322466
1.130000 0.502511 1.531082 0.924836 -0.326646
1.140000 0.501077 1.519351 0.916169 -0.329800
1.150000 0.499313 1.505961 0.905579 -0.331945
1.160000 0.497219 1.491026 0.893121 -0.333094
1.170000 0.494802 1.474646 0.878853 -0.333262
1.180000 0.492064 1.454148 0.861354 -0.308217
1.190000 0.489011 1.429328 0.840567 -0.284554
1.200000 0.485650 1.405033 0.818288 -0.262868
1.210000 0.481985 1.381365 0.795184 -0.244105
1.220000 0.478024 1.358372 0.771362 -0.227902
1.230000 0.473775 1.335958 0.746845 -0.213853
1.240000 0.469245 1.314028 0.721660 -0.201561
1.250000 0.464443 1.292494 0.695836 -0.190666
1.260000 0.459377 1.271271 0.669401 -0.180851
1.270000 0.454057 1.250279 0.645231 -0.171854
1.280000 0.448494 1.229595 0.628398 -0.163455
1.290000 0.442696 1.209352 0.611482 -0.155476
1.300000 0.436676 1.190180 0.594495 -0.150959
1.310000 0.430444 1.171685 0.577451 -0.147999
1.320000 0.424013 1.153615 0.560364 -0.145344
1.330000 0.417393 1.135952 0.542974 -0.142916
1.340000 0.410597 1.118678 0.525268 -0.140658
1.350000 0.403639 1.101777 0.507549 -0.138522
1.360000 0.396530 1.085228 0.489833 -0.136488
1.370000 0.389285 1.068974 0.472135 -0.134653
1.380000 0.381916 1.053048 0.452098 -0.132862
1.390000 0.374437 1.037433 0.429819 -0.131099
1.400000 0.366863 1.022099 0.407554 -0.129351
1.410000 0.359207 1.007004 0.385328 -0.127611
1.420000 0.351484 0.992180 0.363169 -0.124717
1.430000 0.343707 0.977600 0.342568 -0.120965
1.440000 0.335893 0.963219 0.322759 -0.117183
1.450000 0.328054 0.949026 0.302710 -0.113374
1.460000 0.320205 0.935017 0.282366 -0.109541
1.470000 0.312362 0.920976 0.262554 -0.105701
1.480000 0.304539 0.906538 0.244071 -0.101885
1.490000 0.296750 0.891757 0.225928 -0.098072
1.500000 0.289009 0.876087 0.208390 -0.092405
1.510000 0.281332 0.860042 0.191142 -0.086258
1.520000 0.273732 0.844333 0.169817 -0.080840
1.530000 0.266224 0.829479 0.148652 -0.076864
1.540000 0.258822 0.814475 0.129406 -0.072832
1.550000 0.251538 0.798910 0.111397 -0.068111
1.560000 0.244388 0.783227 0.099554 -0.063442
1.570000 0.237383 0.768794 0.094106 -0.057209
1.580000 0.230538 0.754927 0.088870 -0.049967
1.590000 0.223865 0.740984 0.083168 -0.042820
1.600000 0.217375 0.727784 0.077422 -0.035038
1.610000 0.211083 0.715013 0.072188 -0.027382
1.620000 0.204998 0.700573 0.067841 -0.024723
1.630000 0.199132 0.685240 0.063699 -0.025281
1.640000 0.193497 0.670788 0.059680 -0.025821
1.650000 0.188102 0.657583 0.054230 -0.025749
1.660000 0.182958 0.645783 0.049040 -0.025061
1.670000 0.178075 0.636061 0.044104 -0.024361
1.680000 0.173461 0.628692 0.041034 -0.024105
1.690000 0.169124 0.623474 0.039090 -0.023991
1.700000 0.165074 0.619821 0.037254 -0.023878
1.710000 0.161317 0.617288 0.035534 -0.023787
1.720000 0.157861 0.615958 0.033930 -0.022897
1.730000 0.154712 0.615204 0.032456 -0.022086
1.740000 0.151875 0.614438 0.031129 -0.021394
1.750000 0.149357 0.613830 0.029949 -0.020825
1.760000 0.147161 0.613417 0.028915 -0.021626
1.770000 0.145292 0.613370 0.028026 -0.022627
1.780000 0.143753 0.613828 0.027282 -0.023657
1.790000 0.142548 0.614908 0.026681 -0.024715
1.800000 0.141678 0.616561 0.026225 -0.025799
1.810000 0.141144 0.618700 0.025892 -0.026908
1.820000 0.140949 0.621410 0.025706 -0.028035
1.830000 0.141093 0.624641 0.025701 -0.029181
1.840000 0.141574 0.628297 0.025865 -0.030353
1.850000 0.142393 0.632627 0.026151 -0.031541
1.860000 0.143547 0.637900 0.026582 -0.032741
1.870000 0.145035 0.644172 0.027156 -0.033952
1.880000 0.146853 0.651458 0.027874 -0.035165
1.890000 0.148999 0.659776 0.028734 -0.036374
1.900000 0.151468 0.669126 0.029736 -0.037574
1.910000 0.154256 0.679502 0.030877 -0.038756
1.920000 0.157358 0.688366 0.031757 -0.039915
1.930000 0.160768 0.695183 0.032265 -0.041044
1.940000 0.164479 0.703887 0.033021 -0.042129
1.950000 0.168485 0.714418 0.034027 -0.043161
1.960000 0.172778 0.726687 0.035280 -0.044128
1.970000 0.177350 0.740608 0.037395 -0.045020
1.980000 0.182193 0.756080 0.041913 -0.045825
1.990000 0.187297 0.773026 0.046831 -0.046541
2.000000 0.192654 0.791304 0.052145 -0.047149
2.010000 0.198253 0.810848 0.056438 -0.047652
2.020000 0.204084 0.831545 0.060711 -0.048043
