# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322864 0.744936 0.225054 -0.093581
0.010000 0.315017 0.722458 0.208779 -0.086837
0.020000 0.307185 0.720000 0.193725 -0.082193
0.030000 0.299383 0.720000 0.178874 -0.077822
0.040000 0.291625 0.712177 0.164505 -0.072685
0.050000 0.283924 0.703353 0.150299 -0.067479
0.060000 0.276297 0.713468 0.133345 -0.060436
0.070000 0.268756 0.735070 0.114810 -0.052313
0.080000 0.261316 0.761350 0.097233 -0.044047
0.090000 0.253991 0.798657 0.081564 -0.035326
0.100000 0.246794 0.832173 0.067906 -0.028081
0.110000 0.239739 0.846873 0.064562 -0.028633
0.120000 0.232838 0.861250 0.061291 -0.029172
0.130000 0.226105 0.866775 0.057752 -0.029194
0.140000 0.219552 0.858431 0.053747 -0.028401
0.150000 0.213191 0.850332 0.049860 -0.027632
0.160000 0.207035 0.840788 0.046998 -0.027569
0.170000 0.201094 0.831504 0.044275 -0.027538
0.180000 0.195379 0.822575 0.041655 -0.027509
0.190000 0.189902 0.809029 0.037960 -0.026776
0.200000 0.184672 0.794046 0.033944 -0.025787
0.210000 0.179699 0.779801 0.030127 -0.024847
0.220000 0.174993 0.768527 0.027242 -0.024450
0.230000 0.170561 0.763449 0.026354 -0.025314
0.240000 0.166413 0.758696 0.025522 -0.026122
0.250000 0.162556 0.754276 0.024748 -0.026873
0.260000 0.158998 0.750198 0.024035 -0.027566
0.270000 0.155744 0.746469 0.023382 -0.028200
0.280000 0.152801 0.743097 0.022792 -0.028774
0.290000 0.150174 0.740087 0.022265 -0.029285
0.300000 0.147868 0.737445 0.021803 -0.029734
0.310000 0.145888 0.735176 0.021406 -0.030120
0.320000 0.144237 0.733284 0.021075 -0.030442
0.330000 0.142919 0.731773 0.020810 -0.030699
0.340000 0.141935 0.730645 0.020613 -0.030890
0.350000 0.141287 0.729783 0.020475 -0.030997
0.360000 0.140978 0.728984 0.020383 -0.030985
0.370000 0.141006 0.729058 0.020391 -0.030986
0.380000 0.141373 0.730002 0.020500 -0.031000
0.390000 0.142078 0.730809 0.020642 -0.030862
0.400000 0.143119 0.732002 0.020850 -0.030660
0.410000 0.144494 0.733577 0.021126 -0.030392
0.420000 0.146200 0.735533 0.021468 -0.030059
0.430000 0.148236 0.737866 0.021877 -0.029663
0.440000 0.150596 0.740570 0.022350 -0.029203
0.450000 0.153277 0.743642 0.022887 -0.028681
0.460000 0.156273 0.747076 0.023488 -0.028097
0.470000 0.159579 0.750864 0.024151 -0.027453
0.480000 0.163189 0.755001 0.024875 -0.026750
0.490000 0.167096 0.759477 0.025659 -0.025989
0.500000 0.171292 0.764286 0.026500 -0.025171
0.510000 0.175771 0.769418 0.027398 -0.024299
0.520000 0.180523 0.782160 0.030759 -0.025003
0.530000 0.185540 0.796533 0.034611 -0.025951
0.540000 0.190812 0.811637 0.038659 -0.026948
0.550000 0.196330 0.824061 0.042091 -0.027514
0.560000 0.202084 0.833052 0.044729 -0.027544
0.570000 0.208062 0.842394 0.047469 -0.027575
0.580000 0.214254 0.851686 0.050509 -0.027760
0.590000 0.220648 0.859827 0.054417 -0.028534
0.600000 0.227233 0.868211 0.058441 -0.029330
0.610000 0.233995 0.858839 0.061839 -0.029081
0.620000 0.240923 0.844405 0.065123 -0.028540
0.630000 0.248003 0.829153 0.068756 -0.028198
0.640000 0.255223 0.792384 0.084199 -0.036793
0.650000 0.262568 0.754973 0.099912 -0.045538
0.660000 0.270026 0.731431 0.117932 -0.053682
0.670000 0.277583 0.709784 0.136505 -0.061821
0.680000 0.285224 0.704842 0.152696 -0.068357
0.690000 0.292935 0.713678 0.166922 -0.073570
0.700000 0.300702 0.720000 0.181384 -0.078561
0.710000 0.308510 0.720000 0.196247 -0.082935
0.720000 0.316345 0.726263 0.211534 -0.087979
0.730000 0.324193 0.748744 0.227811 -0.094723
0.740000 0.332038 0.770488 0.244039 -0.101324
0.750000 0.339867 0.779459 0.259469 -0.105451
0.760000 0.347664 0.788393 0.274836 -0.109561
0.770000 0.355415 0.798661 0.291839 -0.113678
0.780000 0.363106 0.809153 0.309088 -0.117770
0.790000 0.370722 0.819543 0.326169 -0.121822
0.800000 0.378249 0.829812 0.343050 -0.125827
0.810000 0.385674 0.839940 0.359701 -0.129777
0.820000 0.392982 0.837919 0.371620 -0.131506
0.830000 0.400159 0.835863 0.383299 -0.133193
0.840000 0.407193 0.833848 0.394745 -0.134845
0.850000 0.414071 0.831877 0.405936 -0.136460
0.860000 0.420779 0.829912 0.416838 -0.138040
0.870000 0.427304 0.826173 0.426915 -0.139741
0.880000 0.433636 0.822545 0.436691 -0.141392
0.890000 0.439762 0.819035 0.446150 -0.142989
0.900000 0.445670 0.815650 0.455273 -0.144529
0.910000 0.451350 0.812396 0.464044 -0.146010
0.920000 0.456791 0.814939 0.474831 -0.148624
0.930000 0.461983 0.835293 0.492680 -0.154902
0.940000 0.466916 0.854632 0.509639 -0.160867
