# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.304604 0.720070 0.188811 -0.077785
0.010000 0.296766 0.711278 0.173991 -0.073202
0.020000 0.289035 0.699800 0.159728 -0.067997
0.030000 0.281494 0.688680 0.145814 -0.062943
0.040000 0.274159 0.691231 0.128089 -0.055292
0.050000 0.267074 0.695379 0.110676 -0.047644
0.060000 0.260340 0.702837 0.095146 -0.039995
0.070000 0.254023 0.713473 0.081632 -0.032407
0.080000 0.248159 0.724757 0.069089 -0.025320
0.090000 0.242775 0.730338 0.066001 -0.025167
0.100000 0.237782 0.736053 0.063634 -0.025377
0.110000 0.232966 0.741889 0.061351 -0.025448
0.120000 0.228131 0.747055 0.058990 -0.025275
0.130000 0.223163 0.747839 0.055954 -0.024129
0.140000 0.218048 0.747014 0.052828 -0.022961
0.150000 0.212846 0.744889 0.049661 -0.021835
0.160000 0.207633 0.741382 0.047272 -0.021343
0.170000 0.202448 0.737056 0.044895 -0.020876
0.180000 0.197271 0.731955 0.042522 -0.020368
0.190000 0.192052 0.725648 0.039611 -0.019490
0.200000 0.186740 0.717458 0.035532 -0.017922
0.210000 0.181308 0.707732 0.031362 -0.016365
0.220000 0.175772 0.696788 0.027399 -0.015046
0.230000 0.170165 0.686104 0.026274 -0.015715
0.240000 0.164508 0.675321 0.025140 -0.016451
0.250000 0.158854 0.664594 0.024006 -0.017303
0.260000 0.153350 0.654423 0.022902 -0.018423
0.270000 0.148226 0.645622 0.021875 -0.019933
0.280000 0.143733 0.639087 0.020973 -0.021873
0.290000 0.140065 0.635298 0.020111 -0.023869
0.300000 0.137337 0.634452 0.019298 -0.025751
0.310000 0.135597 0.636878 0.018779 -0.027874
0.320000 0.134851 0.642682 0.018557 -0.030088
0.330000 0.135057 0.651723 0.018619 -0.032307
0.340000 0.136109 0.663559 0.018932 -0.034413
0.350000 0.137846 0.677468 0.019449 -0.036254
0.360000 0.140067 0.692544 0.020111 -0.037658
0.370000 0.142566 0.707705 0.020740 -0.038267
0.380000 0.145171 0.721987 0.021262 -0.038079
0.390000 0.147766 0.734939 0.021782 -0.037553
0.400000 0.150297 0.746442 0.022290 -0.036871
0.410000 0.152745 0.756562 0.022781 -0.036166
0.420000 0.155121 0.765474 0.023257 -0.035508
0.430000 0.157451 0.773419 0.023725 -0.034922
0.440000 0.159768 0.780636 0.024189 -0.034394
