# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322877 0.745116 0.225082 -0.090791
0.010000 0.315031 0.726463 0.208808 -0.084056
0.020000 0.307199 0.717496 0.193751 -0.079420
0.030000 0.299397 0.710210 0.178899 -0.075041
0.040000 0.291638 0.699733 0.164530 -0.069881
0.050000 0.283938 0.688881 0.150324 -0.064646
0.060000 0.276310 0.687342 0.133378 -0.057560
0.070000 0.268770 0.691736 0.114843 -0.049334
0.080000 0.261330 0.698574 0.097262 -0.040893
0.090000 0.254004 0.709942 0.081593 -0.031902
0.100000 0.246807 0.720618 0.067912 -0.024263
0.110000 0.239752 0.724447 0.064568 -0.024363
0.120000 0.232851 0.728534 0.061297 -0.024413
0.130000 0.226118 0.730583 0.057760 -0.023929
0.140000 0.219565 0.728923 0.053755 -0.022655
0.150000 0.213205 0.726414 0.049868 -0.021462
0.160000 0.207048 0.722754 0.047004 -0.021033
0.170000 0.201107 0.718519 0.044281 -0.020698
0.180000 0.195393 0.713907 0.041661 -0.020424
0.190000 0.189915 0.708240 0.037970 -0.019519
0.200000 0.184686 0.701782 0.033955 -0.018436
0.210000 0.179713 0.694912 0.030137 -0.017483
0.220000 0.175006 0.688183 0.027245 -0.017141
0.230000 0.170575 0.682446 0.026356 -0.018121
0.240000 0.166427 0.677433 0.025524 -0.019092
0.250000 0.162570 0.673164 0.024751 -0.020058
0.260000 0.159011 0.669659 0.024037 -0.021022
0.270000 0.155757 0.666939 0.023385 -0.021985
0.280000 0.152814 0.665024 0.022795 -0.022952
0.290000 0.150187 0.663932 0.022268 -0.023922
0.300000 0.147882 0.663680 0.021805 -0.024897
0.310000 0.145902 0.664281 0.021408 -0.025876
0.320000 0.144251 0.665745 0.021077 -0.026858
0.330000 0.142932 0.668078 0.020813 -0.027839
0.340000 0.141948 0.671280 0.020616 -0.028818
0.350000 0.141301 0.675336 0.020479 -0.029769
0.360000 0.140991 0.680202 0.020387 -0.030649
0.370000 0.141020 0.685911 0.020395 -0.031584
0.380000 0.141387 0.692491 0.020503 -0.032561
0.390000 0.142091 0.699863 0.020644 -0.033415
0.400000 0.143132 0.707983 0.020853 -0.034216
0.410000 0.144507 0.716808 0.021129 -0.034954
0.420000 0.146214 0.726290 0.021471 -0.035619
0.430000 0.148249 0.736376 0.021879 -0.036201
0.440000 0.150610 0.747009 0.022353 -0.036687
0.450000 0.153290 0.758126 0.022890 -0.037071
0.460000 0.156286 0.769664 0.023491 -0.037344
0.470000 0.159592 0.781556 0.024154 -0.037498
0.480000 0.163202 0.793735 0.024878 -0.037529
0.490000 0.167109 0.806135 0.025661 -0.037430
0.500000 0.171306 0.818689 0.026503 -0.037201
0.510000 0.175784 0.831335 0.027401 -0.036839
0.520000 0.180536 0.844803 0.030769 -0.037992
0.530000 0.185553 0.859192 0.034621 -0.039336
0.540000 0.190826 0.874428 0.038669 -0.040681
0.550000 0.196344 0.890038 0.042097 -0.041542
0.560000 0.202098 0.905488 0.044735 -0.041807
0.570000 0.208076 0.920753 0.047475 -0.042000
0.580000 0.214268 0.935714 0.050518 -0.042280
0.590000 0.220662 0.950027 0.054425 -0.043080
0.600000 0.227246 0.963889 0.058449 -0.043834
0.610000 0.234009 0.973536 0.061846 -0.043451
0.620000 0.240936 0.979569 0.065129 -0.042654
0.630000 0.248017 0.982381 0.068785 -0.041953
0.640000 0.255236 0.974126 0.084228 -0.050047
0.650000 0.262582 0.960432 0.099941 -0.058159
0.660000 0.270040 0.945898 0.117965 -0.065579
0.670000 0.277596 0.929110 0.136539 -0.072958
0.680000 0.285237 0.916955 0.152721 -0.078720
0.690000 0.292948 0.910456 0.166947 -0.083200
0.700000 0.300715 0.903931 0.181409 -0.087502
0.710000 0.308524 0.895419 0.196273 -0.091229
0.720000 0.316359 0.889850 0.211562 -0.095664
0.730000 0.324207 0.892408 0.227839 -0.101850
0.740000 0.332052 0.896371 0.244066 -0.107952
0.750000 0.339880 0.896274 0.259495 -0.111633
0.760000 0.347677 0.896633 0.274863 -0.115329
0.770000 0.355429 0.898131 0.291870 -0.119063
0.780000 0.363119 0.900265 0.309118 -0.122801
0.790000 0.370736 0.902822 0.326199 -0.126527
0.800000 0.378263 0.905724 0.343081 -0.130232
0.810000 0.385687 0.908904 0.359732 -0.133905
0.820000 0.392995 0.907284 0.371642 -0.135366
0.830000 0.400173 0.905064 0.383321 -0.136792
0.840000 0.407207 0.902335 0.394767 -0.138190
0.850000 0.414084 0.899167 0.405958 -0.139557
0.860000 0.420792 0.895609 0.416859 -0.140898
0.870000 0.427318 0.891039 0.426936 -0.142369
0.880000 0.433650 0.886143 0.436712 -0.143798
0.890000 0.439775 0.880991 0.446171 -0.145183
0.900000 0.445683 0.875649 0.455294 -0.146523
0.910000 0.451363 0.870177 0.464065 -0.147813
0.920000 0.456804 0.868114 0.474878 -0.150263
0.930000 0.461996 0.876975 0.492726 -0.156383
0.940000 0.466929 0.886151 0.509685 -0.162215
0.950000 0.471595 0.895503 0.525722 -0.167741
0.960000 0.475983 0.904905 0.540809 -0.172946
0.970000 0.480087 0.914239 0.554916 -0.177818
0.980000 0.483898 0.923397 0.568018 -0.182344
0.990000 0.487409 0.932277 0.580090 -0.186512
1.000000 0.490615 0.940316 0.590608 -0.189877
1.010000 0.493508 0.947610 0.599800 -0.192644
1.020000 0.496084 0.954366 0.607983 -0.195098
1.030000 0.498337 0.960531 0.615142 -0.197232
1.040000 0.500264 0.966054 0.621264 -0.199044
1.050000 0.501861 0.970891 0.626337 -0.200528
1.060000 0.503124 0.975002 0.630351 -0.201682
1.070000 0.504052 0.978349 0.633300 -0.202503
1.080000 0.504643 0.980899 0.635178 -0.202990
1.090000 0.504896 0.982621 0.635981 -0.203141
1.100000 0.504810 0.983488 0.635707 -0.202959
1.110000 0.504385 0.983474 0.634358 -0.202441
1.120000 0.503623 0.982556 0.631936 -0.201591
1.130000 0.502524 0.980714 0.628445 -0.200411
1.140000 0.501091 0.977927 0.623891 -0.198902
1.150000 0.499326 0.974179 0.618284 -0.197069
1.160000 0.497233 0.969453 0.611634 -0.194915
1.170000 0.494815 0.963736 0.603953 -0.192446
1.180000 0.492077 0.957013 0.595255 -0.189666
1.190000 0.489025 0.949275 0.585557 -0.186582
1.200000 0.485663 0.939750 0.574087 -0.182513
1.210000 0.481999 0.928881 0.561489 -0.178011
1.220000 0.478038 0.916725 0.547873 -0.173159
1.230000 0.473789 0.903269 0.533265 -0.167968
1.240000 0.469259 0.888504 0.517692 -0.162448
1.250000 0.464456 0.872416 0.501183 -0.156610
1.260000 0.459390 0.854996 0.483768 -0.150465
1.270000 0.454071 0.840295 0.468245 -0.145409
1.280000 0.448507 0.836132 0.459654 -0.143950
1.290000 0.442710 0.832641 0.450703 -0.142424
1.300000 0.436690 0.829725 0.441407 -0.140831
1.310000 0.430458 0.827293 0.431784 -0.139175
1.320000 0.424026 0.825262 0.421853 -0.137456
1.330000 0.417406 0.823199 0.411364 -0.135762
1.340000 0.410611 0.820981 0.400306 -0.134104
1.350000 0.403652 0.818902 0.388983 -0.132398
1.360000 0.396544 0.816915 0.377416 -0.130646
1.370000 0.389298 0.814978 0.365626 -0.128851
1.380000 0.381929 0.810295 0.351303 -0.125895
1.390000 0.374451 0.802647 0.334531 -0.121819
1.400000 0.366877 0.794345 0.317544 -0.117699
1.410000 0.359221 0.785443 0.300374 -0.113542
1.420000 0.351497 0.775988 0.283053 -0.109357
1.430000 0.343721 0.766738 0.267066 -0.105175
1.440000 0.335906 0.757464 0.251663 -0.100987
1.450000 0.328067 0.744992 0.235847 -0.095614
1.460000 0.320219 0.728390 0.219568 -0.088824
1.470000 0.312376 0.713556 0.203605 -0.082592
1.480000 0.304552 0.707182 0.188713 -0.078183
1.490000 0.296763 0.700227 0.173986 -0.073580
1.500000 0.289023 0.690251 0.159705 -0.068294
1.510000 0.281346 0.680224 0.145542 -0.063050
1.520000 0.273746 0.684331 0.127075 -0.054922
1.530000 0.266238 0.689591 0.108620 -0.046690
1.540000 0.258835 0.699177 0.091926 -0.037959
1.550000 0.251552 0.711258 0.076347 -0.028966
1.560000 0.244401 0.719510 0.066772 -0.024394
1.570000 0.237397 0.723781 0.063452 -0.024465
1.580000 0.230551 0.728252 0.060207 -0.024488
1.590000 0.223878 0.728679 0.056391 -0.023547
1.600000 0.217389 0.726915 0.052425 -0.022292
1.610000 0.211096 0.724182 0.048859 -0.021332
1.620000 0.205011 0.720448 0.046070 -0.020949
1.630000 0.199146 0.716198 0.043382 -0.020629
1.640000 0.193510 0.711557 0.040730 -0.020332
1.650000 0.188116 0.705587 0.036588 -0.019157
1.660000 0.182972 0.699037 0.032639 -0.018116
1.670000 0.178088 0.692141 0.028890 -0.017203
1.680000 0.173474 0.685842 0.026938 -0.017486
1.690000 0.169138 0.680392 0.026068 -0.018460
1.700000 0.165087 0.675667 0.025256 -0.019428
1.710000 0.161331 0.671686 0.024502 -0.020391
1.720000 0.157874 0.668473 0.023809 -0.021353
1.730000 0.154725 0.666047 0.023178 -0.022317
1.740000 0.151888 0.664429 0.022609 -0.023284
1.750000 0.149370 0.663637 0.022104 -0.024254
1.760000 0.147174 0.663687 0.021664 -0.025230
1.770000 0.145305 0.664592 0.021289 -0.026210
1.780000 0.143767 0.666361 0.020980 -0.027192
1.790000 0.142561 0.668998 0.020739 -0.028172
1.800000 0.141691 0.672502 0.020564 -0.029147
1.810000 0.141158 0.676835 0.020436 -0.030060
1.820000 0.140963 0.681988 0.020378 -0.030959
1.830000 0.141106 0.687996 0.020421 -0.031911
1.840000 0.141587 0.694853 0.020543 -0.032855
1.850000 0.142406 0.702488 0.020707 -0.033692
1.860000 0.143560 0.710856 0.020939 -0.034473
1.870000 0.145048 0.719913 0.021237 -0.035188
1.880000 0.146866 0.729610 0.021602 -0.035826
1.890000 0.149012 0.739891 0.022032 -0.036377
1.900000 0.151482 0.750697 0.022527 -0.036829
1.910000 0.154270 0.761967 0.023087 -0.037176
1.920000 0.157372 0.773634 0.023709 -0.037409
1.930000 0.160781 0.785633 0.024392 -0.037523
1.940000 0.164492 0.797896 0.025137 -0.037508
1.950000 0.168498 0.810357 0.025940 -0.037367
1.960000 0.172791 0.822951 0.026801 -0.037092
1.970000 0.177363 0.835812 0.028333 -0.037105
1.980000 0.182206 0.849595 0.032051 -0.038446
1.990000 0.187311 0.864279 0.035970 -0.039792
2.000000 0.192668 0.879781 0.040083 -0.041137
2.010000 0.198267 0.895337 0.042979 -0.041641
2.020000 0.204098 0.910723 0.045651 -0.041881
2.030000 0.210150 0.925917 0.048425 -0.042051
2.040000 0.216411 0.940641 0.051827 -0.042556
2.050000 0.222871 0.954800 0.055775 -0.043342
2.060000 0.229517 0.967910 0.059717 -0.043903
2.070000 0.236337 0.976006 0.062949 -0.043203
2.080000 0.243318 0.980994 0.066258 -0.042359
2.090000 0.250447 0.980109 0.073983 -0.044692
2.100000 0.257711 0.970001 0.089521 -0.052791
2.110000 0.265096 0.955497 0.105813 -0.060739
2.120000 0.272589 0.940462 0.124230 -0.068071
2.130000 0.280176 0.922800 0.142878 -0.075471
2.140000 0.287842 0.914454 0.157526 -0.080220
2.150000 0.295573 0.908332 0.171791 -0.084732
2.160000 0.303356 0.900886 0.186436 -0.088754
2.170000 0.311175 0.892409 0.201320 -0.092497
2.180000 0.319016 0.890406 0.217074 -0.097747
2.190000 0.326865 0.893585 0.233352 -0.103957
2.200000 0.334706 0.896123 0.249297 -0.109192
2.210000 0.342525 0.896203 0.264709 -0.112879
2.220000 0.350309 0.896861 0.280387 -0.116585
2.230000 0.358041 0.898682 0.297728 -0.120326
2.240000 0.365708 0.900980 0.314924 -0.124062
2.250000 0.373296 0.903672 0.331941 -0.127782
2.260000 0.380790 0.906686 0.348748 -0.131478
2.270000 0.388176 0.908276 0.363801 -0.134405
2.280000 0.395442 0.906448 0.375623 -0.135849
2.290000 0.402572 0.904062 0.387225 -0.137265
2.300000 0.409555 0.901189 0.398587 -0.138654
2.310000 0.416376 0.897900 0.409687 -0.140012
2.320000 0.423023 0.893998 0.420304 -0.141399
2.330000 0.429485 0.889320 0.430281 -0.142856
2.340000 0.435748 0.884339 0.439953 -0.144271
2.350000 0.441801 0.879124 0.449300 -0.145641
2.360000 0.447633 0.873739 0.458305 -0.146964
2.370000 0.453234 0.868243 0.466953 -0.148238
2.380000 0.458591 0.871056 0.481021 -0.152367
2.390000 0.463697 0.880042 0.498572 -0.158392
2.400000 0.468540 0.889293 0.515222 -0.164121
2.410000 0.473112 0.898678 0.530941 -0.169540
2.420000 0.477405 0.908071 0.545699 -0.174634
2.430000 0.481411 0.917358 0.559468 -0.179390
2.440000 0.485121 0.926433 0.572224 -0.183796
2.450000 0.488530 0.935200 0.583941 -0.187841
2.460000 0.491630 0.942849 0.593833 -0.190849
2.470000 0.494416 0.949967 0.602686 -0.193510
2.480000 0.496883 0.956528 0.610524 -0.195857
2.490000 0.499027 0.962480 0.617333 -0.197883
2.500000 0.500842 0.967775 0.623100 -0.199584
2.510000 0.502326 0.972371 0.627816 -0.200956
2.520000 0.503477 0.976226 0.631470 -0.201997
2.530000 0.504291 0.979307 0.634057 -0.202705
2.540000 0.504767 0.981579 0.635571 -0.203079
2.550000 0.504905 0.983014 0.636009 -0.203117
2.560000 0.504704 0.983585 0.635371 -0.202821
2.570000 0.504165 0.983268 0.633658 -0.202191
2.580000 0.503289 0.982039 0.630873 -0.201228
2.590000 0.502076 0.979878 0.627022 -0.199936
2.600000 0.500530 0.976768 0.622110 -0.198317
2.610000 0.498654 0.972690 0.616149 -0.196375
2.620000 0.496450 0.967630 0.609148 -0.194114
2.630000 0.493924 0.961573 0.601120 -0.191539
2.640000 0.491079 0.954508 0.592082 -0.188655
2.650000 0.487921 0.946232 0.581848 -0.185295
2.660000 0.484456 0.936209 0.569936 -0.181028
2.670000 0.480690 0.924906 0.556991 -0.176407
2.680000 0.476631 0.912311 0.543036 -0.171439
2.690000 0.472285 0.898413 0.528098 -0.166135
2.700000 0.467662 0.883202 0.512204 -0.160507
2.710000 0.462770 0.866664 0.495385 -0.154563
2.720000 0.457617 0.848790 0.477670 -0.148317
2.730000 0.452213 0.838829 0.465377 -0.144922
2.740000 0.446569 0.834902 0.456662 -0.143441
2.750000 0.440695 0.831614 0.447592 -0.141892
2.760000 0.434602 0.828869 0.438184 -0.140277
2.770000 0.428301 0.826579 0.428454 -0.138599
2.780000 0.421805 0.824665 0.418422 -0.136860
2.790000 0.415124 0.822444 0.407650 -0.135205
2.800000 0.408272 0.820277 0.396500 -0.133530
2.810000 0.401261 0.818232 0.385092 -0.131809
2.820000 0.394104 0.816265 0.373447 -0.130042
2.830000 0.386816 0.814335 0.361586 -0.128234
2.840000 0.379408 0.807830 0.345649 -0.124519
2.850000 0.371896 0.799948 0.328801 -0.120427
2.860000 0.364292 0.791432 0.311748 -0.116294
2.870000 0.356612 0.782332 0.294523 -0.112127
2.880000 0.348869 0.772723 0.277211 -0.107934
2.890000 0.341078 0.763637 0.261856 -0.103758
2.900000 0.333253 0.754269 0.246434 -0.099565
2.910000 0.325409 0.739515 0.230334 -0.093310
2.920000 0.317561 0.722586 0.214056 -0.086529
2.930000 0.309723 0.711432 0.198556 -0.081097
2.940000 0.301910 0.705169 0.183683 -0.076687
2.950000 0.294135 0.696890 0.169138 -0.071784
2.960000 0.286415 0.686891 0.154894 -0.066512
2.970000 0.278762 0.681321 0.139405 -0.060380
