# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322886 2.093463 0.713079 -0.110504
0.010000 0.325995 2.068604 0.705166 -0.116740
0.020000 0.329103 2.081706 0.703761 -0.121122
0.030000 0.332209 2.096503 0.697058 -0.125550
0.040000 0.335312 2.114072 0.682931 -0.126159
0.050000 0.338412 2.129268 0.665912 -0.124756
0.060000 0.341507 2.133547 0.648879 -0.124174
0.070000 0.344597 2.145798 0.642443 -0.130754
0.080000 0.347681 2.156562 0.639523 -0.140848
0.090000 0.350758 2.166096 0.637801 -0.153580
0.100000 0.353826 2.174713 0.635434 -0.170746
0.110000 0.356886 2.181998 0.633405 -0.186709
0.120000 0.359936 2.187460 0.633177 -0.201600
0.130000 0.362975 2.190864 0.635311 -0.215924
0.140000 0.366003 2.193045 0.637427 -0.229759
0.150000 0.369018 2.193707 0.640178 -0.243002
0.160000 0.372020 2.191184 0.647505 -0.256483
0.170000 0.375008 2.186400 0.656419 -0.270147
0.180000 0.377981 2.178557 0.668186 -0.284585
0.190000 0.380938 2.152910 0.719292 -0.297648
0.200000 0.383878 2.122124 0.777676 -0.309507
0.210000 0.386801 2.092667 0.827083 -0.321518
0.220000 0.389705 2.064079 0.868187 -0.333726
0.230000 0.392591 2.034126 0.906327 -0.344752
0.240000 0.395456 2.014083 0.915429 -0.352660
0.250000 0.398300 1.996013 0.916154 -0.358851
0.260000 0.401122 1.976883 0.916318 -0.363922
0.270000 0.403922 1.957153 0.915385 -0.367343
0.280000 0.406699 1.937088 0.913494 -0.369348
0.290000 0.409452 1.916642 0.911230 -0.370582
0.300000 0.412179 1.895902 0.908630 -0.371135
0.310000 0.414881 1.874947 0.905728 -0.371086
0.320000 0.417557 1.816219 0.885863 -0.368266
0.330000 0.420205 1.760564 0.866929 -0.366808
0.340000 0.422825 1.707814 0.848883 -0.365327
0.350000 0.425416 1.657811 0.831685 -0.363837
0.360000 0.427978 1.610405 0.815296 -0.362350
0.370000 0.430510 1.565457 0.799680 -0.360876
0.380000 0.433011 1.522834 0.784802 -0.359423
0.390000 0.435480 1.482412 0.770628 -0.357999
0.400000 0.437916 1.444074 0.757127 -0.356610
0.410000 0.440320 1.407709 0.744266 -0.355261
0.420000 0.442690 1.373211 0.732018 -0.353956
0.430000 0.445025 1.340483 0.720354 -0.352698
0.440000 0.447325 1.309431 0.709246 -0.351490
0.450000 0.449589 1.279968 0.698669 -0.350332
0.460000 0.451817 1.252009 0.688599 -0.349226
0.470000 0.454008 1.225477 0.679011 -0.348173
0.480000 0.456161 1.200296 0.669883 -0.347172
0.490000 0.458275 1.176397 0.661194 -0.346224
0.500000 0.460351 1.153713 0.652923 -0.345327
0.510000 0.462387 1.132181 0.645049 -0.344482
0.520000 0.464383 1.111742 0.637554 -0.343685
0.530000 0.466338 1.092340 0.630420 -0.342936
0.540000 0.468252 1.073921 0.623629 -0.342234
0.550000 0.470124 1.056434 0.617164 -0.341576
0.560000 0.471954 1.039832 0.611011 -0.340961
0.570000 0.473741 1.024070 0.605152 -0.340386
0.580000 0.475484 1.009105 0.599575 -0.339850
0.590000 0.477184 0.994897 0.594264 -0.339350
0.600000 0.478839 0.981406 0.589206 -0.338884
0.610000 0.480449 0.968597 0.584389 -0.338449
0.620000 0.482014 0.956434 0.579800 -0.338044
0.630000 0.483533 0.944886 0.575427 -0.337666
0.640000 0.485006 0.933922 0.571260 -0.337313
0.650000 0.486432 0.923511 0.567287 -0.336982
0.660000 0.487811 0.913626 0.563498 -0.336672
0.670000 0.489143 0.904240 0.559883 -0.336379
0.680000 0.490427 0.895329 0.556432 -0.336103
0.690000 0.491662 0.886868 0.553138 -0.335839
0.700000 0.492849 0.878835 0.549990 -0.335588
0.710000 0.493987 0.871209 0.546980 -0.335345
0.720000 0.495076 0.863968 0.544102 -0.335110
0.730000 0.496115 0.857094 0.541346 -0.334879
0.740000 0.497105 0.850569 0.538705 -0.334652
0.750000 0.498044 0.844374 0.536173 -0.334426
0.760000 0.498933 0.838493 0.533743 -0.334200
0.770000 0.499771 0.832910 0.531409 -0.333971
0.780000 0.500559 0.827610 0.529163 -0.333738
0.790000 0.501295 0.822579 0.527001 -0.333499
0.800000 0.501980 0.817804 0.524917 -0.333253
0.810000 0.502613 0.813271 0.522905 -0.332997
0.820000 0.503195 0.808968 0.520959 -0.332730
0.830000 0.503724 0.804883 0.519076 -0.332452
0.840000 0.504202 0.801005 0.517250 -0.332160
