# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322886 2.230568 0.758632 -0.108660
0.010000 0.325995 2.165007 0.742678 -0.116810
0.020000 0.329103 2.087264 0.712600 -0.126372
0.030000 0.332209 2.060377 0.694030 -0.133707
0.040000 0.335312 2.057767 0.675285 -0.136318
0.050000 0.338412 2.070649 0.654987 -0.136116
0.060000 0.341507 2.072918 0.637053 -0.136021
0.070000 0.344597 2.063287 0.618783 -0.136616
0.080000 0.347681 2.038709 0.602962 -0.137829
0.090000 0.350758 2.004415 0.584688 -0.139538
0.100000 0.353826 1.964011 0.565071 -0.145295
0.110000 0.356886 1.930034 0.546940 -0.151229
0.120000 0.359936 1.896942 0.531707 -0.157017
0.130000 0.362975 1.860100 0.518988 -0.162587
0.140000 0.366003 1.821848 0.506029 -0.167969
0.150000 0.369018 1.830130 0.511405 -0.186846
0.160000 0.372020 1.834030 0.521951 -0.206491
0.170000 0.375008 1.834999 0.533368 -0.226102
0.180000 0.377981 1.831649 0.548418 -0.247498
0.190000 0.380938 1.812194 0.596190 -0.267182
0.200000 0.383878 1.783884 0.658538 -0.285182
0.210000 0.386801 1.755884 0.712777 -0.303297
0.220000 0.389705 1.728737 0.757289 -0.322501
0.230000 0.392591 1.699768 0.798682 -0.340285
0.240000 0.395456 1.679166 0.813855 -0.354010
0.250000 0.398300 1.661782 0.817196 -0.365147
0.260000 0.401122 1.643336 0.819925 -0.374963
0.270000 0.403922 1.624345 0.821582 -0.382668
0.280000 0.406699 1.605238 0.822151 -0.388285
0.290000 0.409452 1.586014 0.822305 -0.392967
0.300000 0.412179 1.566799 0.822080 -0.396807
0.310000 0.414881 1.547698 0.821513 -0.399894
0.320000 0.417557 1.528792 0.820632 -0.402306
0.330000 0.420205 1.510142 0.819469 -0.404116
0.340000 0.422825 1.491794 0.818048 -0.405390
0.350000 0.425416 1.473779 0.816396 -0.406185
0.360000 0.427978 1.456117 0.814533 -0.406557
0.370000 0.430510 1.438819 0.812481 -0.406554
0.380000 0.433011 1.421890 0.810259 -0.406218
0.390000 0.435480 1.405332 0.807884 -0.405591
0.400000 0.437916 1.389140 0.805372 -0.404707
