# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322886 0.790000 0.264040 -0.108660
0.010000 0.325995 0.763282 0.278931 -0.113273
0.020000 0.329103 0.736572 0.293817 -0.117885
0.030000 0.332209 0.709877 0.308695 -0.122495
0.040000 0.335312 0.695521 0.314693 -0.123226
0.050000 0.338412 0.688417 0.315474 -0.121681
0.060000 0.341507 0.681323 0.316254 -0.120138
0.070000 0.344597 0.674241 0.317033 -0.118597
0.080000 0.347681 0.667174 0.317811 -0.117060
0.090000 0.350758 0.660123 0.318587 -0.115527
0.100000 0.353826 0.660785 0.321388 -0.117775
0.110000 0.356886 0.661582 0.324218 -0.120085
0.120000 0.359936 0.662376 0.327039 -0.122386
0.130000 0.362975 0.663168 0.329850 -0.124680
0.140000 0.366003 0.663956 0.332650 -0.126965
0.150000 0.369018 0.664742 0.335438 -0.129240
0.160000 0.372020 0.665524 0.338215 -0.131506
0.170000 0.375008 0.666302 0.340978 -0.133761
0.180000 0.377981 0.667076 0.343728 -0.136005
0.190000 0.380938 0.667846 0.346462 -0.138236
0.200000 0.383878 0.668612 0.349182 -0.140455
0.210000 0.386801 0.669373 0.351885 -0.142661
0.220000 0.389705 0.670129 0.354571 -0.144853
0.230000 0.392591 0.670881 0.357239 -0.147030
0.240000 0.395456 0.671627 0.359889 -0.149192
0.250000 0.398300 0.672368 0.362519 -0.151339
0.260000 0.401122 0.673103 0.365130 -0.153469
0.270000 0.403922 0.673832 0.367719 -0.155582
0.280000 0.406699 0.674555 0.370287 -0.157678
0.290000 0.409452 0.675272 0.372833 -0.159755
0.300000 0.412179 0.675982 0.375355 -0.161813
0.310000 0.414881 0.676686 0.377854 -0.163853
0.320000 0.417557 0.677383 0.380328 -0.165872
0.330000 0.420205 0.678073 0.382778 -0.167870
0.340000 0.422825 0.678755 0.385201 -0.169848
0.350000 0.425416 0.679430 0.387598 -0.171803
0.360000 0.427978 0.680097 0.389967 -0.173737
0.370000 0.430510 0.680756 0.392308 -0.175647
0.380000 0.433011 0.681408 0.394621 -0.177535
0.390000 0.435480 0.682051 0.396904 -0.179398
0.400000 0.437916 0.682685 0.399158 -0.181237
0.410000 0.440320 0.683311 0.401381 -0.183051
0.420000 0.442690 0.683928 0.403572 -0.184839
