# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.322886 2.122076 0.109542 -0.116411
0.010000 0.328067 2.057900 0.120539 -0.131259
0.020000 0.333243 1.995740 0.131684 -0.145528
0.030000 0.338412 1.936297 0.137841 -0.149163
0.040000 0.343568 1.879527 0.143649 -0.152034
0.050000 0.348707 1.825372 0.149226 -0.154415
0.060000 0.353826 1.773832 0.156494 -0.160143
0.070000 0.358920 1.724848 0.164948 -0.168088
0.080000 0.363986 1.678311 0.173270 -0.175641
0.090000 0.369018 1.634120 0.181459 -0.182836
0.100000 0.374014 1.592174 0.189515 -0.189702
0.110000 0.378968 1.552377 0.197437 -0.196268
0.120000 0.383878 1.514637 0.205223 -0.202556
0.130000 0.388739 1.478864 0.212873 -0.208590
0.140000 0.393548 1.444973 0.221169 -0.214404
0.150000 0.398300 1.412880 0.230281 -0.220020
0.160000 0.402992 1.382505 0.239242 -0.225438
0.170000 0.407619 1.353771 0.248048 -0.230672
0.180000 0.412179 1.326603 0.256698 -0.235734
0.190000 0.416668 1.300929 0.265187 -0.240634
0.200000 0.421081 1.276680 0.273512 -0.245382
0.210000 0.425416 1.253787 0.281670 -0.249986
0.220000 0.429670 1.232187 0.289658 -0.254452
0.230000 0.433837 1.211816 0.297472 -0.258786
0.240000 0.437916 1.192614 0.305110 -0.262994
0.250000 0.441903 1.174522 0.312568 -0.267078
0.260000 0.445795 1.157485 0.319844 -0.271043
0.270000 0.449589 1.141447 0.326934 -0.274890
0.280000 0.453282 1.126357 0.333836 -0.278622
0.290000 0.456870 1.112164 0.340546 -0.282240
0.300000 0.460351 1.098819 0.347063 -0.285744
0.310000 0.463722 1.086275 0.353384 -0.289136
0.320000 0.466981 1.074487 0.359506 -0.292414
0.330000 0.470124 1.063411 0.365427 -0.295580
0.340000 0.473150 1.053005 0.371145 -0.298631
0.350000 0.476056 1.043228 0.376659 -0.301568
0.360000 0.478839 1.034043 0.381965 -0.304389
0.370000 0.481497 1.025410 0.387063 -0.307093
0.380000 0.484029 1.017294 0.391951 -0.309679
0.390000 0.486432 1.009661 0.396627 -0.312146
0.400000 0.488704 1.002477 0.401091 -0.314491
0.410000 0.490844 0.995709 0.405341 -0.316714
0.420000 0.492849 0.989328 0.409376 -0.318813
0.430000 0.494719 0.983303 0.413196 -0.320785
0.440000 0.496451 0.977606 0.416801 -0.322631
0.450000 0.498044 0.972209 0.420190 -0.324348
0.460000 0.499497 0.967087 0.423364 -0.325936
0.470000 0.500810 0.962215 0.426321 -0.327392
0.480000 0.501980 0.957567 0.429063 -0.328715
0.490000 0.503006 0.953122 0.431590 -0.329905
0.500000 0.503889 0.948857 0.433904 -0.330960
0.510000 0.504627 0.944750 0.436004 -0.331879
0.520000 0.505220 0.940783 0.437892 -0.332663
0.530000 0.505667 0.936935 0.439570 -0.333309
0.540000 0.505968 0.933187 0.441038 -0.333818
0.550000 0.506123 0.929523 0.442300 -0.334189
0.560000 0.506131 0.925925 0.443355 -0.334421
0.570000 0.505993 0.922378 0.444208 -0.334516
0.580000 0.505708 0.918866 0.444859 -0.334473
0.590000 0.505277 0.915374 0.445312 -0.334291
0.600000 0.504700 0.911889 0.445568 -0.333972
0.610000 0.503978 0.908397 0.445631 -0.333515
0.620000 0.503112 0.904887 0.445502 -0.332921
0.630000 0.502101 0.901347 0.445186 -0.332192
0.640000 0.500947 0.897765 0.444685 -0.331327
0.650000 0.499650 0.894130 0.444003 -0.330327
0.660000 0.498213 0.890435 0.443141 -0.329194
0.670000 0.496635 0.886668 0.442104 -0.327929
0.680000 0.494918 0.882822 0.440896 -0.326533
0.690000 0.493064 0.878889 0.439518 -0.325007
0.700000 0.491073 0.874861 0.437976 -0.323352
0.710000 0.488948 0.870731 0.436271 -0.321570
0.720000 0.486691 0.866494 0.434409 -0.319663
0.730000 0.484302 0.862143 0.432392 -0.317633
0.740000 0.481785 0.857674 0.430225 -0.315480
0.750000 0.479140 0.853082 0.427910 -0.313207
0.760000 0.476371 0.848362 0.425451 -0.310816
0.770000 0.473479 0.843513 0.422852 -0.308309
0.780000 0.470466 0.838529 0.420117 -0.305687
0.790000 0.467336 0.833410 0.417249 -0.302953
0.800000 0.464090 0.828153 0.414253 -0.300110
0.810000 0.460731 0.822757 0.411131 -0.297158
0.820000 0.457262 0.817220 0.407887 -0.294101
0.830000 0.453686 0.811543 0.404525 -0.290941
0.840000 0.450005 0.805726 0.401049 -0.287680
0.850000 0.446222 0.799768 0.397462 -0.284320
0.860000 0.442341 0.793672 0.393767 -0.280865
0.870000 0.438364 0.787439 0.389968 -0.277316
0.880000 0.434295 0.781071 0.386069 -0.273676
0.890000 0.430137 0.774570 0.382072 -0.269948
0.900000 0.425893 0.767940 0.377981 -0.266134
0.910000 0.421567 0.761183 0.373799 -0.262236
0.920000 0.417162 0.754304 0.369528 -0.258257
0.930000 0.412681 0.747308 0.365172 -0.254200
0.940000 0.408129 0.740197 0.360733 -0.250066
0.950000 0.403509 0.732979 0.356213 -0.245859
0.960000 0.398824 0.725659 0.351614 -0.241579
0.970000 0.394079 0.718242 0.346938 -0.237230
0.980000 0.389276 0.710735 0.342953 -0.232845
0.990000 0.384421 0.703145 0.339877 -0.228434
1.000000 0.379516 0.695478 0.336731 -0.223957
1.010000 0.374566 0.687743 0.333513 -0.219414
1.020000 0.369575 0.679947 0.330219 -0.214807
1.030000 0.364547 0.672099 0.326846 -0.210135
1.040000 0.359485 0.664205 0.323393 -0.205399
1.050000 0.354394 0.656277 0.319856 -0.200601
1.060000 0.349277 0.648356 0.317731 -0.197710
1.070000 0.344140 0.640567 0.319021 -0.199357
1.080000 0.338985 0.632960 0.320146 -0.200900
1.090000 0.333818 0.625581 0.321097 -0.202340
1.100000 0.328642 0.619130 0.303093 -0.193490
1.110000 0.323462 0.613930 0.281909 -0.183425
1.120000 0.318281 0.610207 0.259526 -0.173239
1.130000 0.313103 0.607761 0.227022 -0.157549
1.140000 0.307934 0.606338 0.186075 -0.137320
1.150000 0.302776 0.605991 0.144570 -0.117273
1.160000 0.297635 0.606726 0.108850 -0.100316
1.170000 0.292513 0.608386 0.106273 -0.098771
1.180000 0.287416 0.610990 0.103688 -0.097287
1.190000 0.282347 0.614174 0.100229 -0.095551
1.200000 0.277311 0.617416 0.095628 -0.093455
1.210000 0.272311 0.620745 0.091099 -0.091414
1.220000 0.267352 0.624188 0.086633 -0.089418
1.230000 0.262437 0.627291 0.082721 -0.088218
1.240000 0.257570 0.630068 0.078930 -0.087097
1.250000 0.252756 0.632567 0.075220 -0.085998
1.260000 0.247997 0.634831 0.071585 -0.084916
1.270000 0.243298 0.636714 0.067284 -0.082870
1.280000 0.238664 0.638262 0.063049 -0.080818
1.290000 0.234096 0.639521 0.058905 -0.078794
1.300000 0.229599 0.640488 0.054890 -0.076820
1.310000 0.225177 0.640975 0.051167 -0.074972
1.320000 0.220833 0.641044 0.047542 -0.073154
1.330000 0.216571 0.640753 0.044010 -0.071367
1.340000 0.212393 0.640156 0.040571 -0.069610
1.350000 0.208304 0.639293 0.038038 -0.068404
1.360000 0.204307 0.638206 0.035909 -0.067431
1.370000 0.200404 0.636941 0.033840 -0.066474
1.380000 0.196599 0.635663 0.032072 -0.065678
1.390000 0.192895 0.635006 0.031552 -0.065607
1.400000 0.189295 0.634947 0.031039 -0.065513
1.410000 0.185802 0.635461 0.030533 -0.065398
1.420000 0.182419 0.636528 0.030035 -0.065258
1.430000 0.179147 0.638128 0.029547 -0.065094
1.440000 0.175991 0.640026 0.028684 -0.064944
1.450000 0.172952 0.642110 0.027645 -0.064792
1.460000 0.170033 0.644392 0.026644 -0.064622
1.470000 0.167236 0.646883 0.025683 -0.064434
1.480000 0.164564 0.649596 0.024763 -0.064226
1.490000 0.162018 0.652539 0.023884 -0.063999
1.500000 0.159600 0.655720 0.023047 -0.063753
1.510000 0.157314 0.659148 0.022254 -0.063490
1.520000 0.155159 0.662829 0.021504 -0.063208
1.530000 0.153139 0.666768 0.020800 -0.062910
1.540000 0.151254 0.670969 0.020141 -0.062595
1.550000 0.149507 0.675435 0.019529 -0.062264
1.560000 0.147898 0.680170 0.018963 -0.061918
1.570000 0.146429 0.685173 0.018446 -0.061559
1.580000 0.145101 0.690444 0.017977 -0.061188
1.590000 0.143915 0.695983 0.017557 -0.060805
1.600000 0.142872 0.701787 0.017186 -0.060413
1.610000 0.141974 0.707852 0.016864 -0.060014
1.620000 0.141219 0.714140 0.016634 -0.059623
1.630000 0.140610 0.720546 0.016578 -0.059273
1.640000 0.140147 0.727104 0.016531 -0.058913
1.650000 0.139830 0.733844 0.016491 -0.058544
1.660000 0.139659 0.740790 0.016460 -0.058166
1.670000 0.139634 0.747964 0.016436 -0.057779
1.680000 0.139757 0.755386 0.016420 -0.057384
1.690000 0.140025 0.763071 0.016411 -0.056981
1.700000 0.140440 0.771031 0.016410 -0.056570
1.710000 0.141000 0.779277 0.016416 -0.056152
1.720000 0.141706 0.787741 0.016517 -0.055760
1.730000 0.142557 0.796320 0.016757 -0.055416
1.740000 0.143552 0.804998 0.017039 -0.055091
1.750000 0.144690 0.813755 0.017360 -0.054787
1.760000 0.145970 0.822573 0.017720 -0.054504
1.770000 0.147393 0.831432 0.018118 -0.054245
1.780000 0.148955 0.840313 0.018552 -0.054011
1.790000 0.150656 0.849195 0.019021 -0.053802
1.800000 0.152495 0.858058 0.019525 -0.053620
1.810000 0.154471 0.866883 0.020062 -0.053465
1.820000 0.156581 0.875649 0.020631 -0.053337
1.830000 0.158824 0.884337 0.021231 -0.053237
1.840000 0.161198 0.892928 0.021862 -0.053165
1.850000 0.163701 0.901403 0.022523 -0.053121
1.860000 0.166331 0.909745 0.023212 -0.053103
1.870000 0.169087 0.917937 0.023931 -0.053111
1.880000 0.171966 0.925963 0.024677 -0.053144
1.890000 0.174965 0.933807 0.025452 -0.053202
1.900000 0.178082 0.941449 0.026244 -0.053283
1.910000 0.181316 0.948550 0.026563 -0.053459
1.920000 0.184662 0.955108 0.026898 -0.053673
1.930000 0.188119 0.961128 0.027248 -0.053920
1.940000 0.191684 0.966611 0.027613 -0.054198
1.950000 0.195353 0.971564 0.027994 -0.054502
1.960000 0.199125 0.976356 0.028995 -0.055252
1.970000 0.202995 0.981343 0.030637 -0.056445
1.980000 0.206961 0.986499 0.032324 -0.057648
1.990000 0.211020 0.991804 0.034054 -0.058861
2.000000 0.215169 0.997218 0.036731 -0.060792
2.010000 0.219403 1.002722 0.039508 -0.062777
2.020000 0.223720 1.008300 0.042347 -0.064785
2.030000 0.228117 1.013934 0.045245 -0.066816
2.040000 0.232589 1.019472 0.048285 -0.068929
2.050000 0.237133 1.024763 0.051462 -0.071131
2.060000 0.241746 1.029807 0.054691 -0.073360
2.070000 0.246424 1.034607 0.057970 -0.075614
2.080000 0.251163 1.039033 0.060853 -0.077180
2.090000 0.255959 1.043040 0.063585 -0.078455
2.100000 0.260809 1.046642 0.066356 -0.079739
2.110000 0.265708 1.049855 0.069164 -0.081027
2.120000 0.270653 1.052331 0.072251 -0.082916
2.130000 0.275640 1.053983 0.075456 -0.085040
2.140000 0.280665 1.054865 0.078692 -0.087177
2.150000 0.285723 1.054813 0.081535 -0.089154
2.160000 0.290811 1.053257 0.083082 -0.090612
2.170000 0.295925 1.050349 0.084667 -0.092078
2.180000 0.301060 1.046136 0.101372 -0.102430
2.190000 0.306213 1.040686 0.132288 -0.121466
2.200000 0.311379 1.034183 0.162689 -0.140567
2.210000 0.316554 1.026724 0.190982 -0.158477
2.220000 0.321734 1.018001 0.207282 -0.167746
2.230000 0.326916 1.008387 0.223116 -0.177010
2.240000 0.332094 0.998260 0.238495 -0.186255
2.250000 0.337264 0.988354 0.243245 -0.187499
2.260000 0.342423 0.978867 0.244652 -0.186132
2.270000 0.347567 0.969837 0.246045 -0.184731
2.280000 0.352691 0.961334 0.248992 -0.185694
2.290000 0.357791 0.953417 0.254618 -0.190737
2.300000 0.362863 0.946059 0.260195 -0.195732
2.310000 0.367903 0.939237 0.265722 -0.200679
2.320000 0.372907 0.932927 0.271193 -0.205576
2.330000 0.377871 0.927105 0.276606 -0.210422
2.340000 0.382791 0.921748 0.281957 -0.215215
2.350000 0.387664 0.916833 0.287243 -0.219955
2.360000 0.392484 0.912340 0.292856 -0.224651
2.370000 0.397249 0.908248 0.299739 -0.229333
2.380000 0.401954 0.904534 0.306536 -0.233957
2.390000 0.406597 0.901180 0.313241 -0.238520
2.400000 0.411172 0.898166 0.319847 -0.243020
2.410000 0.415677 0.895472 0.326351 -0.247453
2.420000 0.420107 0.893080 0.332746 -0.251818
2.430000 0.424460 0.890972 0.339027 -0.256110
2.440000 0.428732 0.889129 0.345188 -0.260326
2.450000 0.432919 0.887535 0.351226 -0.264463
2.460000 0.437018 0.886172 0.357134 -0.268518
2.470000 0.441026 0.885024 0.362907 -0.272488
2.480000 0.444939 0.884074 0.368542 -0.276368
2.490000 0.448755 0.883308 0.374033 -0.280157
2.500000 0.452470 0.882709 0.379376 -0.283849
2.510000 0.456082 0.882264 0.384567 -0.287443
2.520000 0.459587 0.881956 0.389601 -0.290934
2.530000 0.462983 0.881773 0.394474 -0.294321
2.540000 0.466267 0.881701 0.399183 -0.297598
2.550000 0.469436 0.881726 0.403725 -0.300765
2.560000 0.472488 0.881835 0.408096 -0.303817
2.570000 0.475420 0.882015 0.412293 -0.306752
2.580000 0.478231 0.882256 0.416313 -0.309567
