# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.436332 2.731012 1.283087 -0.180041
0.010000 0.461295 2.706748 1.339710 -0.198880
0.020000 0.486210 2.686965 1.391655 -0.217787
0.030000 0.511032 2.669221 1.441030 -0.236771
0.040000 0.535713 2.635442 1.499205 -0.249523
0.050000 0.560207 2.582840 1.553116 -0.256184
0.060000 0.584469 2.521339 1.600048 -0.263335
0.070000 0.608452 2.457374 1.642678 -0.270641
0.080000 0.632112 2.394681 1.682832 -0.277893
0.090000 0.655404 2.334863 1.723847 -0.284992
0.100000 0.678284 2.279648 1.764704 -0.291835
0.110000 0.700710 2.231908 1.809264 -0.298226
0.120000 0.722639 2.195348 1.861881 -0.303673
0.130000 0.744029 2.176252 1.929927 -0.308266
0.140000 0.764842 2.168790 2.031675 -0.312327
0.150000 0.785037 2.164573 2.137922 -0.316194
0.160000 0.804576 2.165093 2.245230 -0.319829
0.170000 0.823424 2.169960 2.352766 -0.323261
0.180000 0.841544 2.178989 2.459580 -0.326569
0.190000 0.858903 2.190881 2.558185 -0.329996
0.200000 0.875468 2.211049 2.651809 -0.333172
0.210000 0.891207 2.239832 2.743179 -0.335444
0.220000 0.906092 2.280246 2.826196 -0.337612
0.230000 0.920093 2.317042 2.896495 -0.339952
0.240000 0.933186 2.343647 2.964248 -0.346746
0.250000 0.945345 2.365728 3.035007 -0.360277
0.260000 0.956547 2.390730 3.102731 -0.376285
0.270000 0.966772 2.411059 3.172403 -0.394331
0.280000 0.976000 2.417419 3.249624 -0.417042
0.290000 0.984213 2.261266 3.431980 -0.446821
0.300000 0.991397 2.215405 3.535541 -0.476845
0.310000 0.997538 2.224215 3.599874 -0.501722
0.320000 1.002624 2.236125 3.659332 -0.525802
0.330000 1.006647 2.251370 3.713673 -0.548991
0.340000 1.009597 2.270143 3.762668 -0.571223
0.350000 1.011470 2.290504 3.807404 -0.592449
0.360000 1.012262 2.309856 3.849351 -0.612613
0.370000 1.011972 2.357123 3.885287 -0.632509
0.380000 1.010600 2.386885 3.915024 -0.650561
0.390000 1.008148 2.420804 3.938383 -0.667476
0.400000 1.004623 2.457354 3.956128 -0.683368
0.410000 1.000029 2.491936 3.970994 -0.698574
0.420000 0.994376 2.530161 3.979219 -0.712577
0.430000 0.987674 2.571879 3.980669 -0.725374
