# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.436332 0.682273 0.397693 -0.180041
0.010000 0.461295 0.688774 0.420779 -0.198880
0.020000 0.486210 0.695263 0.443822 -0.217683
0.030000 0.511032 0.701727 0.466777 -0.236416
0.040000 0.535713 0.706666 0.491997 -0.248357
0.050000 0.560207 0.710034 0.519490 -0.253325
0.060000 0.584469 0.713370 0.546722 -0.258246
0.070000 0.608452 0.716668 0.573642 -0.263111
0.080000 0.632112 0.719922 0.600198 -0.267909
0.090000 0.655404 0.723125 0.626341 -0.272634
0.100000 0.678284 0.726271 0.652023 -0.277274
0.110000 0.700710 0.728483 0.677337 -0.281774
0.120000 0.722639 0.724086 0.703169 -0.285807
0.130000 0.744029 0.719796 0.728367 -0.289741
0.140000 0.764842 0.715622 0.752884 -0.293569
0.150000 0.785037 0.711572 0.776674 -0.297284
0.160000 0.804576 0.707654 0.799692 -0.300877
0.170000 0.823424 0.703874 0.821895 -0.304344
0.180000 0.841544 0.700241 0.843240 -0.307676
0.190000 0.858903 0.696760 0.863689 -0.310869
0.200000 0.875468 0.692378 0.882927 -0.313808
0.210000 0.891207 0.683270 0.899926 -0.316099
0.220000 0.906092 0.674656 0.916002 -0.318265
0.230000 0.920093 0.666554 0.931124 -0.320302
0.240000 0.933186 0.658977 0.945265 -0.322208
0.250000 0.945345 0.651941 0.958396 -0.323977
0.260000 0.956547 0.645458 0.970495 -0.325608
0.270000 0.966772 0.639541 0.981538 -0.327096
0.280000 0.976000 0.634201 0.991504 -0.328438
0.290000 0.984213 0.629448 1.000375 -0.329634
0.300000 0.991397 0.625291 1.008134 -0.330679
0.310000 0.997538 0.621737 1.014767 -0.331573
0.320000 1.002624 0.618794 1.020260 -0.332313
0.330000 1.006647 0.616466 1.024604 -0.332899
0.340000 1.009597 0.614759 1.027790 -0.333328
0.350000 1.011470 0.613675 1.029813 -0.333600
0.360000 1.012262 0.613217 1.030669 -0.333716
0.370000 1.011972 0.613385 1.030355 -0.333674
0.380000 1.010600 0.614179 1.028873 -0.333474
0.390000 1.008148 0.615597 1.026226 -0.333117
0.400000 1.004623 0.617638 1.022418 -0.332604
