# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.436332 2.737914 1.264178 -0.180119
0.010000 0.461295 2.643364 1.246500 -0.203116
0.020000 0.486210 2.455703 1.199358 -0.229568
0.030000 0.511032 2.268417 1.156060 -0.255078
0.040000 0.535713 2.100724 1.129717 -0.272660
0.050000 0.560207 1.957801 1.121950 -0.282451
0.060000 0.584469 1.837466 1.129110 -0.291394
0.070000 0.608452 1.759097 1.156061 -0.299361
0.080000 0.632112 1.769731 1.253433 -0.305431
0.090000 0.655404 1.908545 1.472045 -0.311170
0.100000 0.678284 2.062434 1.673493 -0.316696
0.110000 0.700710 2.226156 1.842135 -0.321699
0.120000 0.722639 2.374846 1.961809 -0.326201
0.130000 0.744029 2.440267 2.047819 -0.344724
0.140000 0.764842 2.498441 2.141378 -0.378676
0.150000 0.785037 2.488326 2.298160 -0.432858
0.160000 0.804576 2.358310 2.555519 -0.501390
0.170000 0.823424 2.366931 2.661638 -0.552123
0.180000 0.841544 2.372804 2.760050 -0.598034
0.190000 0.858903 2.376505 2.850639 -0.639156
0.200000 0.875468 2.370951 2.939715 -0.675546
0.210000 0.891207 2.363208 3.021375 -0.706949
0.220000 0.906092 2.354890 3.094720 -0.734157
0.230000 0.920093 2.345642 3.160431 -0.757539
0.240000 0.933186 2.328241 3.224058 -0.778155
0.250000 0.945345 2.310901 3.279453 -0.795121
0.260000 0.956547 2.294001 3.326731 -0.808690
0.270000 0.966772 2.277854 3.366024 -0.819104
0.280000 0.976000 2.258947 3.399918 -0.827259
0.290000 0.984213 2.237999 3.427915 -0.833016
0.300000 0.991397 2.218031 3.448172 -0.835990
0.310000 0.997538 2.199254 3.460844 -0.836405
0.320000 1.002624 2.181821 3.466099 -0.834479
0.330000 1.006647 2.165826 3.464110 -0.830417
0.340000 1.009597 2.148668 3.456601 -0.824996
0.350000 1.011470 2.131580 3.442804 -0.817877
0.360000 1.012262 2.115746 3.422135 -0.808931
0.370000 1.011972 2.101161 3.394794 -0.798359
0.380000 1.010600 2.050743 3.301954 -0.784117
0.390000 1.008148 2.006361 3.211340 -0.773029
0.400000 1.004623 1.967495 3.122794 -0.761976
0.410000 1.000029 1.933645 3.036157 -0.750971
0.420000 0.994376 1.904334 2.951271 -0.740019
0.430000 0.987674 1.879109 2.867979 -0.729126
0.440000 0.979936 1.857385 2.786004 -0.718284
0.450000 0.971176 1.836865 2.703743 -0.707326
0.460000 0.961412 1.819714 2.623191 -0.696470
0.470000 0.950660 1.805570 2.544166 -0.685721
0.480000 0.938942 1.794095 2.466498 -0.675080
0.490000 0.926280 1.784964 2.390035 -0.664551
0.500000 0.912697 1.777872 2.314638 -0.654137
0.510000 0.898218 1.772531 2.240188 -0.643838
0.520000 0.882872 1.768671 2.166581 -0.633659
0.530000 0.866686 1.766038 2.093735 -0.623370
0.540000 0.849691 1.764397 2.021583 -0.612782
0.550000 0.831920 1.761688 1.948961 -0.602131
0.560000 0.813406 1.758173 1.876204 -0.591452
0.570000 0.794182 1.754645 1.803926 -0.580827
0.580000 0.774287 1.750960 1.732137 -0.570262
0.590000 0.753756 1.746993 1.660861 -0.559763
0.600000 0.732628 1.742636 1.590129 -0.549339
0.610000 0.710944 1.737802 1.519986 -0.538997
0.620000 0.688744 1.732422 1.450486 -0.528570
0.630000 0.666069 1.726446 1.381693 -0.517995
0.640000 0.642963 1.719844 1.313678 -0.507527
0.650000 0.619468 1.712606 1.246524 -0.497179
0.660000 0.595629 1.700688 1.179734 -0.486672
0.670000 0.571491 1.683036 1.113280 -0.475913
0.680000 0.547099 1.664647 1.047994 -0.465255
0.690000 0.522498 1.645583 0.983920 -0.454108
0.700000 0.497736 1.625918 0.921102 -0.430038
0.710000 0.472858 1.605743 0.859586 -0.406059
0.720000 0.447912 1.585161 0.799423 -0.382216
0.730000 0.422944 1.556113 0.742312 -0.357997
0.740000 0.398001 1.524103 0.687181 -0.333762
0.750000 0.373130 1.491959 0.633492 -0.309729
0.760000 0.348378 1.459812 0.581233 -0.288995
0.770000 0.323791 1.427801 0.530391 -0.277355
0.780000 0.299416 1.394870 0.481744 -0.205561
0.790000 0.275297 1.354227 0.439671 -0.195073
0.800000 0.251482 1.314052 0.398889 -0.188453
0.810000 0.228014 1.274489 0.359344 -0.179158
0.820000 0.204937 1.235691 0.320986 -0.170968
0.830000 0.182296 1.197819 0.283767 -0.169360
0.840000 0.160131 1.159379 0.254961 -0.169886
0.850000 0.138486 1.121930 0.227662 -0.170747
0.860000 0.117401 1.085759 0.201334 -0.173137
0.870000 0.096915 1.051074 0.175918 -0.170337
0.880000 0.077066 1.018106 0.151357 -0.163540
0.890000 0.057893 1.136358 0.045100 -0.168878
0.900000 0.039431 1.262853 0.000000 -0.172517
0.910000 0.021715 1.277104 0.000000 -0.164841
0.920000 0.004778 1.233331 0.000000 -0.152080
0.930000 -0.011348 1.198381 0.000000 -0.140222
0.940000 -0.026632 1.189430 0.000000 -0.129481
0.950000 -0.041047 1.133227 0.000000 -0.114957
0.960000 -0.054564 1.009401 0.000000 -0.097536
0.970000 -0.067159 0.861810 0.000000 -0.081569
0.980000 -0.078808 0.725548 0.000000 -0.065195
0.990000 -0.089488 0.565826 0.000000 -0.049199
1.000000 -0.099180 0.428748 0.000000 -0.035670
1.010000 -0.107867 0.327233 0.000000 -0.025536
1.020000 -0.115530 0.233093 0.000000 -0.022587
1.030000 -0.122156 0.139121 0.000000 -0.020129
