# time[s], AoA[rad], cl[-], cd[-], cm[-]
0.000000 0.436332 1.518644 0.188993 -0.183125
0.010000 0.461295 1.571994 0.199054 -0.205211
0.020000 0.486210 1.622052 0.209739 -0.227392
0.030000 0.511032 1.668662 0.221018 -0.249596
0.040000 0.535713 1.711660 0.233590 -0.265074
0.050000 0.560207 1.750905 0.247450 -0.273616
0.060000 0.584469 1.786304 0.261816 -0.282114
0.070000 0.608452 1.817785 0.276652 -0.290528
0.080000 0.632112 1.845303 0.291918 -0.298825
0.090000 0.655404 1.868839 0.307570 -0.306971
0.100000 0.678284 1.888401 0.323561 -0.314937
0.110000 0.700710 1.904019 0.339677 -0.322647
0.120000 0.722639 1.915714 0.354775 -0.329746
0.130000 0.744029 1.923593 0.370089 -0.336607
0.140000 0.764842 1.927792 0.385569 -0.343216
0.150000 0.785037 1.928467 0.401161 -0.349560
0.160000 0.804576 1.925797 0.416815 -0.355633
0.170000 0.823424 1.919977 0.436636 -0.361535
0.180000 0.841544 1.911221 0.463178 -0.367358
0.190000 0.858903 1.899752 0.489390 -0.372930
0.200000 0.875468 1.885811 0.515340 -0.378148
0.210000 0.891207 1.869674 0.541574 -0.382643
0.220000 0.906092 1.851601 0.567150 -0.386920
0.230000 0.920093 1.831850 0.591960 -0.390979
0.240000 0.933186 1.810678 0.615900 -0.394823
0.250000 0.945345 1.788330 0.638874 -0.398453
0.260000 0.956547 1.765047 0.660790 -0.401871
0.270000 0.966772 1.741054 0.681563 -0.405078
0.280000 0.976000 1.716567 0.701117 -0.408076
0.290000 0.984213 1.691783 0.719378 -0.410866
0.300000 0.991397 1.666888 0.736282 -0.413449
0.310000 0.997538 1.642049 0.751773 -0.415825
0.320000 1.002624 1.617416 0.765800 -0.417995
0.330000 1.006647 1.593125 0.778321 -0.419959
0.340000 1.009597 1.569290 0.789300 -0.421716
0.350000 1.011470 1.546013 0.798708 -0.423267
0.360000 1.012262 1.523374 0.806525 -0.424610
0.370000 1.011972 1.501442 0.812737 -0.425747
0.380000 1.010600 1.480265 0.817336 -0.426676
0.390000 1.008148 1.459879 0.820322 -0.427398
0.400000 1.004623 1.440303 0.821701 -0.427913
0.410000 1.000029 1.421544 0.821486 -0.428220
0.420000 0.994376 1.403594 0.819692 -0.428321
0.430000 0.987674 1.386432 0.816345 -0.428215
0.440000 0.979936 1.370025 0.811472 -0.427904
0.450000 0.971176 1.354329 0.805107 -0.427387
0.460000 0.961412 1.339288 0.797286 -0.426665
0.470000 0.950660 1.324835 0.788052 -0.425739
0.480000 0.938942 1.310896 0.777448 -0.424607
0.490000 0.926280 1.297386 0.765524 -0.423271
0.500000 0.912697 1.284212 0.752329 -0.421729
0.510000 0.898218 1.271273 0.737918 -0.419979
0.520000 0.882872 1.258465 0.722345 -0.418020
0.530000 0.866686 1.245684 0.705889 -0.415632
0.540000 0.849691 1.232815 0.688721 -0.412623
0.550000 0.831920 1.219718 0.670476 -0.409357
0.560000 0.813406 1.206253 0.652984 -0.405933
0.570000 0.794182 1.192277 0.643921 -0.402780
0.580000 0.774287 1.177651 0.634034 -0.399348
0.590000 0.753756 1.162241 0.623321 -0.395625
0.600000 0.732628 1.145919 0.611778 -0.391597
0.610000 0.710944 1.128565 0.599400 -0.387250
0.620000 0.688744 1.110044 0.585791 -0.382373
0.630000 0.666069 1.090209 0.570852 -0.376882
0.640000 0.642963 1.068968 0.555166 -0.371041
0.650000 0.619468 1.046242 0.538748 -0.364844
0.660000 0.595629 1.021978 0.521609 -0.358285
0.670000 0.571491 0.996138 0.503763 -0.351362
0.680000 0.547099 0.968710 0.485225 -0.344073
0.690000 0.522498 0.939703 0.466187 -0.335824
0.700000 0.497736 0.909098 0.450428 -0.314334
0.710000 0.472858 0.876953 0.434251 -0.292443
0.720000 0.447912 0.843344 0.417684 -0.270191
0.730000 0.422944 0.808374 0.400757 -0.247628
0.740000 0.398001 0.772164 0.383504 -0.224806
0.750000 0.373130 0.734857 0.365961 -0.201786
0.760000 0.348378 0.696762 0.351412 -0.181748
0.770000 0.323791 0.661286 0.328271 -0.169643
0.780000 0.299416 0.630264 0.144536 -0.092800
0.790000 0.275297 0.601139 0.121038 -0.081598
0.800000 0.251482 0.568299 0.093794 -0.074629
0.810000 0.228014 0.532291 0.066117 -0.065312
0.820000 0.204937 0.493630 0.043446 -0.057420
0.830000 0.182296 0.452804 0.034649 -0.056443
0.840000 0.160131 0.410270 0.025824 -0.057757
0.850000 0.138486 0.366453 0.017578 -0.059558
0.860000 0.117401 0.321753 0.016128 -0.063072
0.870000 0.096915 0.276537 0.015402 -0.061536
0.880000 0.077066 0.231152 0.015219 -0.056170
0.890000 0.057893 0.185914 0.013777 -0.051201
0.900000 0.039431 0.141119 0.011931 -0.046580
0.910000 0.021715 0.097039 0.011794 -0.041729
0.920000 0.004778 0.052280 0.012149 -0.037056
0.930000 -0.011348 0.010828 0.012125 -0.032791
0.940000 -0.026632 -0.029257 0.011974 -0.028887
0.950000 -0.041047 -0.067771 0.012112 -0.025206
0.960000 -0.054564 -0.104524 0.012829 -0.021635
0.970000 -0.067159 -0.139340 0.013486 -0.018391
0.980000 -0.078808 -0.172056 0.013628 -0.011981
0.990000 -0.089488 -0.202522 0.013505 -0.004236
1.000000 -0.099180 -0.230596 0.013395 0.002726
1.010000 -0.107867 -0.256148 0.013775 0.007698
1.020000 -0.115530 -0.279059 0.016285 0.006513
1.030000 -0.122156 -0.299217 0.018424 0.005429
1.040000 -0.127733 -0.316521 0.020196 0.004457
1.050000 -0.132249 -0.330877 0.021607 0.003607
1.060000 -0.135698 -0.342202 0.022659 0.002889
1.070000 -0.138071 -0.350419 0.023359 0.002311
1.080000 -0.139364 -0.355463 0.023710 0.001881
1.090000 -0.139576 -0.357275 0.023718 0.001605
1.100000 -0.138706 -0.355806 0.023386 0.001490
1.110000 -0.136755 -0.351015 0.022722 0.001540
1.120000 -0.133726 -0.342872 0.021730 0.001761
1.130000 -0.129627 -0.331354 0.020415 0.002156
1.140000 -0.124464 -0.316449 0.018784 0.002728
1.150000 -0.118247 -0.298152 0.016844 0.003480
1.160000 -0.110988 -0.276470 0.014599 0.004413
1.170000 -0.102700 -0.251418 0.013243 0.002297
1.180000 -0.093399 -0.223019 0.013326 -0.004386
1.190000 -0.083103 -0.191308 0.013418 -0.011743
1.200000 -0.071831 -0.156328 0.013519 -0.019756
1.210000 -0.059604 -0.118129 0.012960 -0.022655
1.220000 -0.046444 -0.076773 0.012347 -0.025596
1.230000 -0.032378 -0.032329 0.011929 -0.028607
1.240000 -0.017430 0.015127 0.012054 -0.031537
1.250000 -0.001630 0.062493 0.012075 -0.034729
1.260000 0.014993 0.115008 0.011957 -0.038179
1.270000 0.032408 0.170275 0.011616 -0.041791
1.280000 0.050582 0.228190 0.012861 -0.044869
1.290000 0.069481 0.288640 0.014413 -0.047921
1.300000 0.089070 0.351504 0.014679 -0.051139
1.310000 0.109311 0.416659 0.014840 -0.053939
1.320000 0.130167 0.483972 0.015907 -0.047862
1.330000 0.151598 0.553311 0.019801 -0.042443
1.340000 0.173564 0.624535 0.026913 -0.037824
1.350000 0.196024 0.697503 0.031204 -0.033386
1.360000 0.218935 0.772067 0.044309 -0.035278
1.370000 0.242255 0.848080 0.063025 -0.040487
1.380000 0.265940 0.925392 0.080309 -0.042182
1.390000 0.289945 1.000959 0.093028 -0.045952
1.400000 0.314225 1.070526 0.180193 -0.100638
1.410000 0.338735 1.133007 0.205670 -0.131758
1.420000 0.363428 1.192541 0.202040 -0.137751
1.430000 0.388258 1.249679 0.211648 -0.159208
1.440000 0.413178 1.304236 0.221832 -0.180894
1.450000 0.438142 1.356036 0.232578 -0.202741
1.460000 0.463102 1.404908 0.243868 -0.224683
1.470000 0.488012 1.450697 0.255675 -0.246656
1.480000 0.512825 1.493259 0.267971 -0.268593
1.490000 0.537495 1.532445 0.281833 -0.282777
1.500000 0.561974 1.568133 0.296958 -0.290978
1.510000 0.586217 1.600246 0.312458 -0.299096
1.520000 0.610178 1.628730 0.328302 -0.307101
1.530000 0.633813 1.653558 0.344451 -0.314961
1.540000 0.657076 1.674727 0.360864 -0.322651
1.550000 0.679925 1.692259 0.377499 -0.330148
1.560000 0.702316 1.706194 0.394059 -0.337347
1.570000 0.724207 1.716570 0.409672 -0.343957
1.580000 0.745557 1.723506 0.425386 -0.350331
1.590000 0.766326 1.727142 0.441154 -0.356458
1.600000 0.786475 1.727640 0.456928 -0.362331
1.610000 0.805966 1.725182 0.472660 -0.367945
1.620000 0.824762 1.719961 0.493258 -0.373460
1.630000 0.842828 1.712189 0.519666 -0.378937
1.640000 0.860130 1.702084 0.545649 -0.384179
1.650000 0.876636 1.689879 0.571326 -0.389042
1.660000 0.892315 1.675838 0.597057 -0.393246
1.670000 0.907136 1.660209 0.622053 -0.397248
1.680000 0.921073 1.643235 0.646210 -0.401048
1.690000 0.934099 1.625154 0.669429 -0.404646
1.700000 0.946189 1.606196 0.691617 -0.408042
1.710000 0.957321 1.586577 0.712685 -0.411238
1.720000 0.967474 1.566505 0.732554 -0.414233
1.730000 0.976629 1.546171 0.751150 -0.417027
1.740000 0.984769 1.525752 0.768404 -0.419620
1.750000 0.991878 1.505408 0.784256 -0.422011
1.760000 0.997942 1.485285 0.798654 -0.424199
1.770000 1.002952 1.465509 0.811552 -0.426183
1.780000 1.006896 1.446192 0.822911 -0.427964
1.790000 1.009769 1.427426 0.832701 -0.429539
1.800000 1.011564 1.409291 0.840896 -0.430908
1.810000 1.012277 1.391845 0.847481 -0.432070
1.820000 1.011909 1.375135 0.852445 -0.433025
1.830000 1.010458 1.359191 0.855786 -0.433773
1.840000 1.007929 1.344029 0.857506 -0.434313
1.850000 1.004326 1.329649 0.857615 -0.434646
1.860000 0.999655 1.316042 0.856129 -0.434772
1.870000 0.993925 1.303182 0.853069 -0.434692
1.880000 0.987148 1.291035 0.848461 -0.434407
1.890000 0.979335 1.279553 0.842337 -0.433918
1.900000 0.970502 1.268679 0.834732 -0.433225
1.910000 0.960666 1.258346 0.825686 -0.432329
1.920000 0.949843 1.248477 0.815243 -0.431231
1.930000 0.938056 1.238987 0.803449 -0.429932
1.940000 0.925326 1.229784 0.790354 -0.428430
1.950000 0.911677 1.220767 0.776009 -0.426726
1.960000 0.897135 1.211831 0.760470 -0.424817
1.970000 0.881727 1.202864 0.743791 -0.422702
1.980000 0.865481 1.193761 0.726278 -0.420115
1.990000 0.848429 1.184402 0.708003 -0.416950
2.000000 0.830603 1.174644 0.688673 -0.413529
2.010000 0.812036 1.164346 0.670923 -0.410006
2.020000 0.792763 1.153366 0.660828 -0.406731
2.030000 0.772820 1.141567 0.649927 -0.403173
2.040000 0.752244 1.128815 0.638218 -0.399319
2.050000 0.731075 1.114986 0.625695 -0.395154
2.060000 0.709352 1.099964 0.612352 -0.390663
2.070000 0.687116 1.083612 0.597741 -0.385600
2.080000 0.664409 1.065794 0.581902 -0.379950
2.090000 0.641273 1.046423 0.565334 -0.373941
2.100000 0.617752 1.025427 0.548050 -0.367568
2.110000 0.593889 1.002759 0.530063 -0.360825
2.120000 0.569731 0.978389 0.511388 -0.353707
2.130000 0.545322 0.952312 0.492038 -0.346217
2.140000 0.520709 0.924541 0.472510 -0.336786
2.150000 0.495937 0.895070 0.456074 -0.315087
2.160000 0.471052 0.863963 0.439240 -0.292982
2.170000 0.446103 0.831304 0.422039 -0.270518
2.180000 0.421135 0.797204 0.404504 -0.247744
2.190000 0.396196 0.761792 0.386672 -0.224717
2.200000 0.371332 0.725218 0.368580 -0.201500
2.210000 0.346590 0.687908 0.355941 -0.183568
2.220000 0.322017 0.653524 0.324016 -0.167418
2.230000 0.297659 0.623351 0.135439 -0.089586
2.240000 0.273561 0.594500 0.119339 -0.081425
2.250000 0.249769 0.561923 0.092389 -0.074681
2.260000 0.226328 0.526168 0.064500 -0.065000
2.270000 0.203282 0.487755 0.042419 -0.057382
2.280000 0.180673 0.447171 0.034368 -0.056761
2.290000 0.158545 0.404875 0.025186 -0.058071
2.300000 0.136939 0.361294 0.017490 -0.059981
2.310000 0.115896 0.316826 0.016039 -0.063468
2.320000 0.095454 0.271842 0.015399 -0.061247
2.330000 0.075654 0.226686 0.015216 -0.055879
2.340000 0.056531 0.181677 0.013645 -0.050917
2.350000 0.038122 0.137111 0.011801 -0.046299
2.360000 0.020461 0.093260 0.011823 -0.041400
2.370000 0.003582 0.048403 0.012161 -0.036734
2.380000 -0.012484 0.007276 0.012114 -0.032481
2.390000 -0.027706 -0.032496 0.011963 -0.028580
2.400000 -0.042057 -0.070707 0.012167 -0.024880
2.410000 -0.055508 -0.107167 0.012882 -0.021316
2.420000 -0.068035 -0.141700 0.013537 -0.018083
2.430000 -0.079614 -0.174141 0.013625 -0.011296
2.440000 -0.090224 -0.204339 0.013502 -0.003599
2.450000 -0.099844 -0.232154 0.013392 0.003313
2.460000 -0.108456 -0.257453 0.013975 0.007728
2.470000 -0.116045 -0.280117 0.016466 0.006553
2.480000 -0.122596 -0.300034 0.018584 0.005479
2.490000 -0.128096 -0.317102 0.020334 0.004516
2.500000 -0.132535 -0.331227 0.021721 0.003676
2.510000 -0.135906 -0.342325 0.022750 0.002966
2.520000 -0.138201 -0.350320 0.023425 0.002395
2.530000 -0.139416 -0.355145 0.023750 0.001972
2.540000 -0.139549 -0.356742 0.023732 0.001703
2.550000 -0.138601 -0.355061 0.023375 0.001595
2.560000 -0.136571 -0.350061 0.022684 0.001651
2.570000 -0.133465 -0.341712 0.021665 0.001878
2.580000 -0.129288 -0.329991 0.020324 0.002279
2.590000 -0.124049 -0.314885 0.018667 0.002856
2.600000 -0.117756 -0.296390 0.016700 0.003614
2.610000 -0.110422 -0.274513 0.014429 0.004552
2.620000 -0.102060 -0.249268 0.013251 0.001892
2.630000 -0.092687 -0.220681 0.013335 -0.004849
2.640000 -0.082319 -0.188784 0.013427 -0.012262
2.650000 -0.070977 -0.153621 0.013496 -0.020050
2.660000 -0.058681 -0.115244 0.012918 -0.022839
2.670000 -0.045455 -0.073714 0.012301 -0.025801
2.680000 -0.031324 -0.029100 0.011937 -0.028808
2.690000 -0.016314 0.018521 0.012064 -0.031757
2.700000 -0.000453 0.066199 0.012094 -0.034964
2.710000 0.016229 0.118916 0.011933 -0.038437
2.720000 0.033700 0.174378 0.011591 -0.042058
2.730000 0.051928 0.232479 0.012972 -0.045088
2.740000 0.070878 0.293107 0.014527 -0.048146
2.750000 0.090515 0.356141 0.014687 -0.051377
2.760000 0.110802 0.421455 0.014917 -0.053507
2.770000 0.131701 0.488919 0.015986 -0.047415
2.780000 0.153172 0.558398 0.020312 -0.042115
2.790000 0.175175 0.629753 0.027434 -0.037485
2.800000 0.197669 0.702840 0.031617 -0.033170
2.810000 0.220612 0.777514 0.045597 -0.035634
