Num Time AoA Cl Cd Cm
1  0.000  8.2  0.68  0.0263  -0.0284
2  0.016  8.2  0.71  0.0221  -0.0265
3  0.033  8.2  0.73  0.0238  -0.0277
4  0.049  8.7  0.78  0.0305  -0.0330
5  0.066  9.9  0.95  0.0491  -0.0559
6  0.082  11.9  1.06  0.0680  -0.0569
7  0.098  13.5  1.17  0.0880  -0.0681
8  0.115  15.6  1.30  0.1276  -0.0927
9  0.131  17.7  1.27  0.1582  -0.0903
10  0.148  19.6  1.35  0.3016  -0.1362
11  0.164  21.5  1.41  0.5592  -0.2104
12  0.181  23.1  1.27  0.6717  -0.3108
13  0.197  25.2  0.82  0.5121  -0.1859
14  0.213  26.6  1.29  0.6543  -0.2160
15  0.230  27.3  1.73  0.9733  -0.4096
16  0.246  28.2  1.36  0.8485  -0.3216
17  0.263  28.9  1.21  0.7286  -0.2374
18  0.279  28.9  1.34  0.8170  -0.2891
19  0.295  28.9  0.98  0.6565  -0.2178
20  0.312  28.9  1.18  0.7324  -0.2633
21  0.328  28.4  1.04  0.6706  -0.2176
22  0.345  26.8  0.86  0.5185  -0.1560
23  0.361  25.2  0.81  0.4553  -0.1536
24  0.377  23.2  0.82  0.3486  -0.1144
25  0.394  21.0  0.76  0.3180  -0.1198
26  0.410  18.8  0.59  0.2196  -0.0801
27  0.427  17.2  0.53  0.1472  -0.0457
28  0.443  15.1  0.48  0.0971  -0.0221
29  0.459  13.6  0.52  0.0608  -0.0044
30  0.476  11.4  0.52  0.0328  0.0133
31  0.492  10.3  0.59  0.0359  -0.0096
32  0.509  9.3  0.61  0.0302  -0.0153
33  0.525  8.8  0.62  0.0297  -0.0184
34  0.542  8.2  0.71  0.0317  -0.0352
35  0.558  8.2  0.72  0.0296  -0.0282
36  0.574  8.2  0.76  0.0285  -0.0360
37  0.591  8.3  0.80  0.0296  -0.0396
38  0.607  9.8  0.96  0.0505  -0.0539
39  0.624  11.4  1.10  0.0667  -0.0660
40  0.640  13.0  1.21  0.0899  -0.0809
41  0.656  15.1  1.33  0.1288  -0.0949
42  0.673  17.2  1.42  0.1717  -0.1175
43  0.689  19.1  1.50  0.2535  -0.1502
44  0.706  21.0  1.57  0.4754  -0.1832
45  0.722  22.6  1.68  0.8010  -0.3942
46  0.738  24.4  0.84  0.5617  -0.2104
47  0.755  26.3  0.92  0.5380  -0.1789
48  0.771  27.4  1.36  0.7279  -0.2067
49  0.788  27.9  1.53  0.8749  -0.3391
50  0.804  28.8  1.25  0.7692  -0.2724
51  0.820  28.9  1.19  0.7497  -0.2517
52  0.837  29.0  1.03  0.6910  -0.2319
53  0.853  28.9  1.10  0.6864  -0.2239
54  0.870  28.4  1.08  0.6912  -0.2344
55  0.886  27.4  0.94  0.5703  -0.1899
56  0.903  25.8  0.82  0.4705  -0.1567
57  0.919  23.6  0.93  0.4099  -0.1490
58  0.935  21.7  0.81  0.3509  -0.1347
59  0.952  19.4  0.63  0.2328  -0.0799
60  0.968  17.8  0.53  0.1407  -0.0327
61  0.985  15.6  0.52  0.1095  -0.0291
62  1.001  14.0  0.48  0.0638  -0.0036
63  1.017  11.9  0.49  0.0440  0.0002
64  1.034  10.3  0.52  0.0306  0.0054
65  1.050  9.3  0.56  0.0236  -0.0013
66  1.067  8.7  0.61  0.0281  -0.0178
67  1.083  8.1  0.66  0.0264  -0.0265
68  1.099  8.2  0.68  0.0243  -0.0223
69  1.116  8.2  0.75  0.0233  -0.0359
70  1.132  8.2  0.75  0.0207  -0.0319
71  1.149  9.3  0.87  0.0413  -0.0438
72  1.165  10.9  1.04  0.0558  -0.0595
73  1.182  12.5  1.15  0.0728  -0.0665
74  1.198  14.6  1.26  0.1065  -0.0847
75  1.214  16.7  1.35  0.1501  -0.1034
76  1.231  18.8  1.35  0.2080  -0.1133
77  1.247  21.0  1.54  0.4259  -0.1646
78  1.264  22.6  1.60  0.7238  -0.3408
79  1.280  24.1  0.93  0.5503  -0.2167
80  1.296  26.1  0.98  0.5178  -0.1858
81  1.313  27.4  1.57  0.8338  -0.3064
82  1.329  27.9  1.33  0.7963  -0.2828
83  1.346  28.9  1.09  0.6990  -0.2466
84  1.362  28.9  1.34  0.7946  -0.2678
85  1.378  28.9  1.01  0.6785  -0.2283
86  1.395  28.9  1.06  0.6438  -0.1954
87  1.411  28.7  1.08  0.6951  -0.2240
88  1.428  27.8  0.88  0.5557  -0.1742
89  1.444  25.7  0.97  0.5556  -0.1993
90  1.460  24.2  0.83  0.4297  -0.1508
91  1.477  22.5  0.80  0.3558  -0.1216
92  1.493  19.9  0.59  0.2535  -0.0947
93  1.510  18.3  0.55  0.1627  -0.0454
94  1.526  16.2  0.54  0.1145  -0.0294
95  1.543  14.0  0.50  0.0682  -0.0057
96  1.559  12.5  0.51  0.0452  0.0066
97  1.575  10.8  0.54  0.0319  0.0030
98  1.592  9.7  0.60  0.0341  -0.0122
99  1.608  8.7  0.63  0.0300  -0.0246
100  1.625  8.2  0.66  0.0294  -0.0282
101  1.641  8.2  0.70  0.0235  -0.0261
102  1.657  8.1  0.75  0.0270  -0.0344
103  1.674  8.2  0.78  0.0271  -0.0369
104  1.690  8.7  0.85  0.0328  -0.0431
105  1.707  10.3  1.00  0.0507  -0.0554
106  1.723  12.1  1.14  0.0740  -0.0693
107  1.739  14.0  1.25  0.0993  -0.0799
108  1.756  16.2  1.38  0.1436  -0.1021
109  1.772  18.3  1.34  0.1839  -0.1084
110  1.789  20.4  1.41  0.3501  -0.1531
111  1.805  22.0  1.50  0.6328  -0.2683
112  1.822  23.6  1.42  0.7342  -0.3516
113  1.838  25.7  1.09  0.5575  -0.2222
114  1.854  26.8  1.32  0.5849  -0.2142
115  1.871  27.9  1.40  0.6832  -0.2513
116  1.887  28.4  1.27  0.6523  -0.2139
117  1.904  28.9  1.22  0.6766  -0.2228
118  1.920  28.9  1.06  0.6878  -0.2246
119  1.936  28.9  0.94  0.6211  -0.1978
120  1.953  29.0  0.93  0.5996  -0.1780
