# S809 Pitching Airfoil - Experimental Drag Coefficient (CD)
# Source: Figure 4, Energies 2025 (Original: NREL/TP-442-7817, Ramsay et al. 1995)
# Conditions: k=0.079, Re=1.0e6, alpha_mean=14 deg, amplitude=10 deg
# Data type: Dynamic hysteresis loop (time-ordered)
# Columns: alpha_deg, CD
alpha_deg,CD
8.115,0.0252
9.754,0.0505
11.393,0.0649
12.541,0.0721
13.525,0.0865
14.098,0.1009
14.590,0.1045
16.721,0.1514
18.279,0.1838
19.098,0.2523
19.508,0.2991
20.984,0.4757
21.557,0.5586
22.049,0.6306
22.541,0.7243
24.016,0.5477
26.639,0.6559
27.377,0.8324
27.951,0.7964
28.934,0.7027
29.016,0.6018
28.852,0.6270
29.016,0.6486
28.852,0.6595
28.689,0.6919
28.443,0.6919
27.459,0.5694
25.820,0.4721
25.738,0.5586
25.246,0.4577
23.607,0.4108
21.721,0.3495
20.984,0.3171
19.918,0.2559
19.426,0.2342
18.279,0.1586
17.869,0.1405
16.230,0.1117
15.000,0.0901
13.934,0.0649
12.459,0.0468
11.475,0.0360
10.738,0.0324
9.262,0.0288
8.689,0.0288
