# S809 Pitching Airfoil - Experimental Lift Coefficient (CL)
# Source: Figure 4, Energies 2025 (Original: NREL/TP-442-7817, Ramsay et al. 1995)
# Conditions: k=0.079, Re=1.0e6, alpha_mean=14 deg, amplitude=10 deg
# Data type: Dynamic hysteresis loop (time-ordered)
# Columns: alpha_deg, CL
alpha_deg,CL
8.204,0.6809
8.204,0.7500
8.204,0.7766
8.367,0.8032
8.694,0.8511
9.755,0.9628
10.245,1.0000
10.898,1.0426
12.041,1.1383
13.918,1.2447
16.122,1.3777
17.184,1.4255
19.061,1.5053
20.939,1.5691
22.571,1.6755
24.286,0.8404
26.245,0.9202
27.306,1.3564
27.796,1.5266
28.694,1.2500
28.857,1.1862
28.857,1.0904
28.367,1.0426
25.265,0.8085
23.143,0.8245
22.408,0.8032
20.857,0.7606
19.306,0.6277
18.653,0.5851
17.673,0.5319
15.551,0.5213
13.918,0.4787
11.796,0.4894
10.245,0.5160
9.265,0.5532
8.612,0.6117
8.122,0.6596
