# S809 Pitching Airfoil - Experimental Pitching Moment Coefficient (CM)
# Source: Figure 4, Energies 2025 (Original: NREL/TP-442-7817, Ramsay et al. 1995)
# Conditions: k=0.079, Re=1.0e6, alpha_mean=14 deg, amplitude=10 deg
# Data type: Dynamic hysteresis loop (time-ordered)
# Columns: alpha_deg, CM
alpha_deg,CM
8.204,-0.0274
8.776,-0.0186
10.327,-0.0097
10.735,0.0009
11.388,0.0133
13.510,-0.0062
15.061,-0.0221
15.551,-0.0292
17.755,-0.0345
19.878,-0.0965
22.408,-0.1212
25.102,-0.1531
26.735,-0.1566
28.367,-0.2168
28.694,-0.2540
28.122,-0.3212
27.796,-0.3389
27.306,-0.2080
26.245,-0.1796
24.367,-0.2097
22.490,-0.3938
20.939,-0.1814
19.061,-0.1513
17.102,-0.1159
15.061,-0.0965
12.939,-0.0823
11.388,-0.0664
8.694,-0.0434
